row hash,your role recoded,orgtype: Charitable trust,orgtype: Incorporated society,orgtype: Voluntary organisation,orgtype: māori,orgtype: faith,orgtype: philanthropic,orgtype:other,paid staff,volunteers,income,service type,service type other,international?,region: All of Aotearoa New Zealand,region: All of North Island,region: All of South Island,region: Northland,region: Auckland,region: Waikato,region: Bay of Plenty,region: Gisborne,region: Hawke's Bay,region: Taranaki,region: Manawatu-Wanganui,region: Wellington,region: Tasman-Nelson-Marlborough,region: West Coast,region: Canterbury,region: Otago,region: Southland,ethnic: General (no ethnic-specific focus),ethnic: New Zealand European,ethnic: māori,ethnic: Samoan,ethnic: Cook Island Māori,ethnic: Tongan,ethnic: Niuean,ethnic: Chinese,ethnic: Indian,ethnic: MELA,ethnic: Other,revenue affect,lost revenue (est),Reduction Standardised,gained revenue (est),Increase standardised,service delivery affect,service delivery affect reasons,service delivery change,service delivery change description,funding reserve,challenges: Ensuring sufficient revenue to maintain viability,challenges: Being able to pay our staff,challenges: Changing our service provision to meet public health criteria,challenges: Meeting the needs of the people we support,challenges: Ensuring our staff and volunteers are well supported,challenges: Developing new service offerings,challenges: Loss of volunteers,challenges: Meeting the levels of work required,challenges: Other (please specify),opportunities: Increasing our volunteer base,opportunities: Improving our profile,opportunities: Greater appreciation for and recognition of our work,opportunities: New ways of connecting with funders and/or supporters,opportunities: Working closer with other organisations for a common good,opportunities: New ways of connecting with those using our services,opportunities: New service offerings,opportunities: Faster decision-making,opportunities: Longer contracts or funding agreements,opportunities: More flexibility in contracts or funding agreements,opportunities: Stronger sense of community or common values,opportunities: Increasing our funding,opportunities: Ability to move quickly,opportunities: Better business continuity planning,opportunities: Options around where and how we work,opportunities: Other (please specify),priorities and concerns,staff: Reduce staff numbers,staff: Reduce staff wages and salaries,staff: Reduce volunteer support,staff: Increase staff,staff: Increase volunteer support,staff: Not applicable,staff: Other (please specify),service delivery: Cut some services,service delivery: Seek new funding sources,service delivery: Deliver more remote online or phone services,service delivery: Develop new in-person service offerings,service delivery: Reduce service costs to users,service delivery: Increase service costs to users,service delivery: Change kaupapa,service delivery: Not applicable,service delivery: Other (please specify),support accessed: Government COVID-19 wage subsidy scheme,support accessed: Government COVID-19 small business cashflow loan scheme,support accessed: Other government funding responding to COVID-19,support accessed: New funding sources,support accessed: Voluntary support,support accessed: Donated goods and services,support accessed: Not applicable,support accessed: Other (please specify),other new ways,optimism,support needed: More volunteers,support needed: Advice on how you can operate within COVID-19 restrictions,support needed: HR support and advice,support needed: Digital technology,support needed: Legal obligations,support needed: Grant writing,support needed: Fundraising,support needed: Resources to manage volunteers,support needed: Governance,support needed: Leadership,support needed: Innovation and strategic advice,support needed: Marketing and communications,support needed: Other (please specify),sector changes: Collaboration between organisations,sector changes: Mergers of organisations,sector changes: Sector-wide leadership to provide voice and influence,sector changes: Strengthening financial and management knowledge/skills,sector changes: Strengthening governance knowledge/skills,sector changes: Access to information and data in one place,sector changes: Funding to cover salaries and operational costs,sector changes: Other (please specify),important learning,comments,share,"again: Yes, I am willing to be surveyed again","again: Yes, I am willing to be interviewed","again: Yes, I would like to see the survey results","again: No, I do not wish to be contacted"
0005cfbebd4b20a1867de6f1e5ab0b764db9cf98,Senior manager,0,1,0,0,0,0,,1-5 staff,11-20 volunteers,"$125,000 to under $2 million",Community and social services,,We work only in Aotearoa New Zealand,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a small reduction in revenue (0-9% decline)","10,000","$10,000.00 ",,,We have maintained services at the same level,,We have made minor changes to how we deliver services because of COVID-19,,We have sufficient funds to maintain staff and activity for four to five months,1,1,0,0,0,0,1,0,,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,,,,,,,,Not applicable,,,Seek new funding sources,,,,,,,,,,,,,,Not applicable,,,,,,,Digital technology,,Grant writing,,,,,,,,Collaboration between organisations,,,,,,Funding to cover salaries and operational costs,,,,Yes,,,,"No, I do not wish to be contacted"
006c4d3793b1382d8cbbed52db5307cd5952a40a,Administration/Coordination,0,1,0,0,0,0,,No paid staff,11-20 volunteers,"Under $125,000",Community and social services,,We work only in Aotearoa New Zealand,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, no change in revenue",,,,,We have had to substantially cut back on our services because of COVID-19,We organise and host fatigue stops on the main highway of which 2 were cancelled because of COVID.,We have not made any changes to how we deliver services,,We have sufficient funds to maintain staff and activity for four to five months,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,To be able to provide our service at peak times on Long extended weekends.,,,,,,Not applicable,,Cut some services,,,,,,,,,,,,,,,Not applicable,,,4 Slightly confident,More volunteers,,,,,,,,,,,,,,,,,,Access to information and data in one place,,,,,Yes,,,,"No, I do not wish to be contacted"
00950323938dadcd42d0b239690816f7e65503e6,Senior manager,1,0,0,0,0,0,,1-5 staff,1-5 volunteers,"$125,000 to under $2 million",Education and research,,We work both in and outside of Aotearoa New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,I'm not sure,,,,,We have maintained services at the same level,,We have not made any changes to how we deliver services,,We have sufficient funds to maintain staff and activity for more than one year,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,Not applicable,,,,,,,,,Not applicable,,Government COVID-19 wage subsidy scheme,,,,,,,,,6 Very confident,,,,,,,,,,,,,,Collaboration between organisations,,,,,,,,,,Yes,"Yes, I am willing to be surveyed again",,"Yes, I would like to see the survey results",
00ae2fdcc59ccb2bb7b5b8c1725975ce5f7e9797,Chair/President,0,1,1,0,1,0,,No paid staff,More than 50 volunteers,"Under $125,000",Community and social services,,We work both in and outside of Aotearoa New Zealand,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a moderate reduction in revenue (10-19% decline)","$15,000 ","$15,000.00 ",,,We have had to substantially cut back on our services because of COVID-19,Our volunteers are mostly over 70. The supply of home cooked food was banned. Gatherings were banned,I'm not sure,Our stocks of commercially produced food were donated to the food bank / Civil Defenses thy could distribute it. Our Community Meals ceased. Our deliverer of free second hand furniture ceased. We are about to re start our community Meals and have replaced them with a take away service.,We have sufficient funds to maintain staff and activity for six to 12 months,1,0,1,1,0,0,0,1,May be getting our former clients to come and get food - their routine has been disrupted. It may take time to re establish.,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,,RE establishing our regular service - with both volunteers and clients. Both groups have replaced their regular routines. Obtaining money from Charitable Trusts who may be overwhelmed with requests.,,,,,,Not applicable,,Cut some services,Seek new funding sources,Deliver more remote online or phone services,,,,,,,,,,New funding sources,Voluntary support,,,,Greater use of on-line meetings,6 Very confident,More volunteers,,,,,,,,,,,,,,Mergers of organisations,Sector-wide leadership to provide voice and influence,,,,,,Its hard to say - this is not over yet. At the moment it seems like our volunteer base is loyal and ready to re start. Don't yet know about our clients. We are being approached for help on a one to one basis - loyalty of clients to our community events has yet to be tested. I am guessing that it will take some time to re build that base.,The real leanings from COVID may be yet to come.,Yes,"Yes, I am willing to be surveyed again",,,
00bef6dbdcc63f8e444154ab4ed820c2d5473650,Chief Executive or Executive Director,1,1,0,0,0,0,,6-10 staff,21-50 volunteers,"$125,000 to under $2 million",Community and social services,,We work only in Aotearoa New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,"We have had, or expect to have, no change in revenue",,,,,We have had to substantially expand our services to respond to COVID-19,,We have made some changes to how we deliver services because of COVID-19,,We have sufficient funds to maintain staff and activity for six to 12 months,0,0,0,1,0,1,0,1,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,,,,,,Increase staff,,,,,,Deliver more remote online or phone services,,,,,,,,,Other government funding responding to COVID-19,,,,,,Extended online service provision. Moved focus based on need i.e. hardship,5 Somewhat confident,,,,,,,,Resources to manage volunteers,,,,,Certainty of funding from educational institute for service provision through student associations,Collaboration between organisations,,,,,,,Collaboration with educational institute,That the team can adapt to meet the needs of students. Positive team in challenging environment.,,Yes,"Yes, I am willing to be surveyed again","Yes, I am willing to be interviewed","Yes, I would like to see the survey results",
00f1b9ca7f6e0f07225c0d41f0a0105812838b22,Board member/trustee,1,1,1,0,0,0,,1-5 staff,6-10 volunteers,"Under $125,000",Community and social services,,We work only in Aotearoa New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, no change in revenue",,,,,We have had to substantially expand our services to respond to COVID-19,The amount of hardship case's. We delivered over 150 food parcels in lockdown and expect this to go on for awhile.,We have made some changes to how we deliver services because of COVID-19,Our community worker worked from home.,We have sufficient funds to maintain staff and activity for more than one year,0,1,0,1,1,0,0,0,,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,,Making sure all members of our community effected by the full out of COVID 19 are cared for.,,,Reduce volunteer support,,,,,,Seek new funding sources,Deliver more remote online or phone services,,,,,,,,,,New funding sources,,Donated goods and services,,,More online /phone contact. Contact less food delivery,2 Somewhat pessimistic,More volunteers,,HR support and advice,,,Grant writing,Fundraising,,,,,Marketing and communications,,,,,Strengthening financial and management knowledge and skills in the sector,,,Funding to cover salaries and operational costs,,In time of need their werected funder that contacted us to see what they could do for us. Without that this community would have families without food.,We need to find more grant money for operating costs and food if our community support worker services are going to survive.,Yes,"Yes, I am willing to be surveyed again",,"Yes, I would like to see the survey results",
010ef2fa548da0e67bf2a33cdf65eb2ba94fa438,Board member/trustee,1,0,0,0,0,0,,1-5 staff,6-10 volunteers,"$125,000 to under $2 million",Housing support,,We work only in Aotearoa New Zealand,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a moderate reduction in revenue (10-19% decline)",$150k,"$150,000.00 ",,,We have had to make some small increases in our service delivery to respond to COVID-19,Providing support during lockdown,We have made minor changes to how we deliver services because of COVID-19,Having to operate in bubbles!,We have sufficient funds to maintain staff and activity for four to five months,1,1,1,1,0,0,0,0,Impact of Lockdown on people we support - especially mental health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Funding! Where all the homeless people will go once the hotels etc want their old customers back...,,,,Increase staff,Increase volunteer support,,,,,Deliver more remote online or phone services,Develop new in-person service offerings,,,,,,Government COVID-19 wage subsidy scheme,,,,,,,,,6 Very confident,,,,,,Grant writing,Fundraising,,,,,,,,,,Strengthening financial and management knowledge and skills in the sector,,,Funding to cover salaries and operational costs,,There are homes for everyone if we look for them...,,Yes,"Yes, I am willing to be surveyed again",,,
01245994da336d3004dfce578dbdc226578e2a22,Senior manager,1,0,0,0,0,0,,1-5 staff,1-5 volunteers,"$125,000 to under $2 million",Other (please specify),Support & Training Services,We work both in and outside of Aotearoa New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a large reduction in revenue (decline of 20% to 49%)",$50-$100k,"$75,000.00 ",,,We have had to make moderate cuts to our services because of COVID-19,Need to contain costs in light of decreased income,We have made some changes to how we deliver services because of COVID-19,Online delivery of a range of services,We have sufficient funds to maintain staff and activity for two to three months,1,0,1,1,1,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,,,,,,,,Not applicable,,Cut some services,Seek new funding sources,Deliver more remote online or phone services,,,,,,,Government COVID-19 wage subsidy scheme,,,New funding sources,,,,,Some capping of the amount of support on offer; cost reductions,,,,,Digital technology,,,,,Governance,,Innovation and strategic advice,Marketing and communications,,Collaboration between organisations,Mergers of organisations,Sector-wide leadership to provide voice and influence,Strengthening financial and management knowledge and skills in the sector,Strengthening governance knowledge and skills in the sector,,,,Alternative ways of working and of delivering services,,Yes,"Yes, I am willing to be surveyed again",,,
0128b62bb60180d89f8b0a6920fc67249cf1d930,Chief Executive or Executive Director,0,1,0,0,0,0,,1-5 staff,1-5 volunteers,"Under $125,000",Other (please specify),Advocacy and crime prevention,We work only in Aotearoa New Zealand,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a large reduction in revenue (decline of 20% to 49%)","30,000","$30,000.00 ",,,We have had to make moderate cuts to our services because of COVID-19,Funding,We have made minor changes to how we deliver services because of COVID-19,Isolation,We have sufficient funds to maintain staff and activity for six to 12 months,0,0,0,1,0,1,0,0,,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,,Politicking,,,,,,Not applicable,,Cut some services,,Deliver more remote online or phone services,,,,,,,Government COVID-19 wage subsidy scheme,,,,,,,,,5 Somewhat confident,,,,,,,,,Governance,Leadership,,,,Collaboration between organisations,,,Strengthening financial and management knowledge and skills in the sector,Strengthening governance knowledge and skills in the sector,Access to information and data in one place,,,Public service zealots don't know the needs and issues of businesses/ communities they are supposed to be serving,No,Yes,"Yes, I am willing to be surveyed again",,,
01412f2f352446ae3a992342befcc095280768ce,Chief Executive or Executive Director,1,0,0,0,0,0,,1-5 staff,1-5 volunteers,"Under $125,000",Other (please specify),Capacity Building,We work only in Aotearoa New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, no change in revenue",,,,,We have had to make some small increases in our service delivery to respond to COVID-19,We had to take our in-person crowdfunding events online and the pandemic gave us momentum to do this,We have made major changes to how we deliver services because of COVID-19,We had to take our in-person crowdfunding events online and the pandemic gave us momentum to do this,We have sufficient funds to maintain staff and activity for four to five months,0,0,0,0,0,1,0,0,,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,Not applicable,,,,Deliver more remote online or phone services,,,,,,,,,,,,,,Match funding from trusts,,5 Somewhat confident,,,,Digital technology,,,,,,,Innovation and strategic advice,Marketing and communications,,Collaboration between organisations,,,,,,,,Pivot and be bold,,Yes,"Yes, I am willing to be surveyed again","Yes, I am willing to be interviewed","Yes, I would like to see the survey results",
