,Field,text,emotions,score
0,Can you please tell us your organisations current key priorities and or concerns,To source funding for a research project to explore how we can work better with Māori and Pacifica communities.,approval,0.799662172794342
1,Can you please tell us your organisations current key priorities and or concerns,Growing new business; replacing operational hardware,approval,0.8417115807533264
2,Can you please tell us your organisations current key priorities and or concerns,Maintaining cashflow through external funding grants. Attracting replacement ECE teachers. Attracting more students.,approval,0.7833437919616699
3,Can you please tell us your organisations current key priorities and or concerns,"Sufficient funding to create a website and for a part-time coordinator as most of us are volunteering. Adequate support in running online events, ",desire,0.4553666114807129
4,Can you please tell us your organisations current key priorities and or concerns,Making sure that people are not isolated and can get out and about and enjoy life also getting the help that is required for stroke survivors and their carers.,joy,0.4705566167831421
5,Can you please tell us your organisations current key priorities and or concerns,Our priorities are making we have enough food for our foodbank,desire,0.770065188407898
6,Can you please tell us your organisations current key priorities and or concerns,"Key priorities are funding (as always), changes in the health sector, increasing demand for services",neutral,0.48453450202941895
7,Can you please tell us your organisations current key priorities and or concerns,Lockdowns ,neutral,0.9982057809829712
8,Can you please tell us your organisations current key priorities and or concerns,Maintaining a level of income to continue. We do not have enough funding to pay the manager position and struggle with maintaining volunteers who have the time and commitment.,admiration,0.3288293480873108
9,Can you please tell us your organisations current key priorities and or concerns,Funding,neutral,0.8977287411689758
10,Can you please tell us your organisations current key priorities and or concerns,Delivery of planned service activities to disabled people in developing nations including the Pacific Islands.,neutral,0.9698594212532043
11,Can you please tell us your organisations current key priorities and or concerns,Making sure the whanau are well supported and also that any social support needs in the Wellington Region are addressed,caring,0.9051536917686462
12,Can you please tell us your organisations current key priorities and or concerns,Welfare of Wahine ,neutral,0.9980796575546265
13,Can you please tell us your organisations current key priorities and or concerns,Securing more sustainable funding and a further staff member,approval,0.9903974533081055
14,Can you please tell us your organisations current key priorities and or concerns,"Our priorities are to continue to provide support to victims of crime and trauma. On top of this we are looking at the future for our organisation e.g., what will we look like in 10 years’ time and how will we get there including developing a larger funding base.",approval,0.40216511487960815
15,Can you please tell us your organisations current key priorities and or concerns,People,neutral,0.9957159161567688
16,Can you please tell us your organisations current key priorities and or concerns,Keeping our community safe,caring,0.7686194777488708
17,Can you please tell us your organisations current key priorities and or concerns,"Support and empower new migrants and refugees Bring cultural awareness and sensitivity Celebrate, support and connect the Multicultural communities ",approval,0.7200456857681274
18,Can you please tell us your organisations current key priorities and or concerns,Being easily accessible to new parents with mental health issues,approval,0.8924757242202759
19,Can you please tell us your organisations current key priorities and or concerns,Funding to keep us viable,neutral,0.7334879636764526
20,Can you please tell us your organisations current key priorities and or concerns,"The concern of time diversion to attend imposed courses such as anti ""White"" ideology.",neutral,0.9966908693313599
21,Can you please tell us your organisations current key priorities and or concerns,Funding to finish projects,approval,0.8430092334747314
22,Can you please tell us your organisations current key priorities and or concerns,Renovating our HQ and finding funding to do so.,approval,0.9465832114219666
23,Can you please tell us your organisations current key priorities and or concerns,"Volunteer recruitment, funding",approval,0.5867171287536621
24,Can you please tell us your organisations current key priorities and or concerns,Aware of the stress and anxiety levels of rangatahi. Finding stable funding. Exploring mix of entrepreneurship and funding. Getting more people onto our delivery and governance team,realization,0.7155558466911316
25,Can you please tell us your organisations current key priorities and or concerns,Our vulnerable staff and community due to the high cost of living.,sadness,0.9860823154449463
26,Can you please tell us your organisations current key priorities and or concerns,Rising cost of living for all New Zealanders - The housing market and its social impact - Inequity in the electricity market - Behaviour of the supermarket duopoly - Mislabelled sunscreens,neutral,0.9621062278747559
27,Can you please tell us your organisations current key priorities and or concerns,Continuing to advocate and ensure equal rights and opportunities for all women and girls across the spectrum,approval,0.9220010638237
28,Can you please tell us your organisations current key priorities and or concerns,Resourcing vulnerable groups and individuals in our community to have means to communicate with others and access to essential supplies using digital technology,approval,0.9498406648635864
29,Can you please tell us your organisations current key priorities and or concerns,Funding to do urgent and necessary repairs and maintenance to our venue/,approval,0.526611864566803
30,Can you please tell us your organisations current key priorities and or concerns,Developing understanding and confidence with business/ contract delivery models to be able to better respond to invitations for community-led service delivery,approval,0.9907637238502502
31,Can you please tell us your organisations current key priorities and or concerns,Paying our program facilitators in house,neutral,0.9952964186668396
32,Can you please tell us your organisations current key priorities and or concerns,To stay viable,neutral,0.9932477474212646
