,text,emotions,score
0,To source funding for a research project to explore how we can work better with Māori and Pacifica communities.,approval,0.799662172794342
1,Growing new business; replacing operational hardware,approval,0.8417115807533264
2,Maintaining cashflow through external funding grants. Attracting replacement ECE teachers. Attracting more students.,approval,0.7833437919616699
3,"Sufficient funding to create a website and for a part-time coordinator as most of us are volunteering. Adequate support in running online events, ",desire,0.4553666114807129
4,Making sure that people are not isolated and can get out and about and enjoy life also getting the help that is required for stroke survivors and their carers.,joy,0.4705566167831421
5,Our priorities are making we have enough food for our foodbank,desire,0.770065188407898
6,"Key priorities are funding (as always), changes in the health sector, increasing demand for services",neutral,0.48453450202941895
7,Lockdowns ,neutral,0.9982057809829712
8,Maintaining a level of income to continue. We do not have enough funding to pay the manager position and struggle with maintaining volunteers who have the time and commitment.,admiration,0.3288293480873108
9,Funding,neutral,0.8977287411689758
10,Delivery of planned service activities to disabled people in developing nations including the Pacific Islands.,neutral,0.9698594212532043
11,Making sure the whanau are well supported and also that any social support needs in the Wellington Region are addressed,caring,0.9051536917686462
12,Welfare of Wahine ,neutral,0.9980796575546265
13,Securing more sustainable funding and a further staff member,approval,0.9903974533081055
14,"Our priorities are to continue to provide support to victims of crime and trauma. On top of this we are looking at the future for our organisation e.g., what will we look like in 10 years’ time and how will we get there including developing a larger funding base.",approval,0.40216511487960815
15,People,neutral,0.9957159161567688
16,Keeping our community safe,caring,0.7686194777488708
17,"Support and empower new migrants and refugees Bring cultural awareness and sensitivity Celebrate, support and connect the Multicultural communities ",approval,0.7200456857681274
18,Being easily accessible to new parents with mental health issues,approval,0.8924757242202759
19,Funding to keep us viable,neutral,0.7334879636764526
20,"The concern of time diversion to attend imposed courses such as anti ""White"" ideology.",neutral,0.9966908693313599
21,Funding to finish projects,approval,0.8430092334747314
22,Renovating our HQ and finding funding to do so.,approval,0.9465832114219666
23,"Volunteer recruitment, funding",approval,0.5867171287536621
24,Aware of the stress and anxiety levels of rangatahi. Finding stable funding. Exploring mix of entrepreneurship and funding. Getting more people onto our delivery and governance team,realization,0.7155558466911316
25,Our vulnerable staff and community due to the high cost of living.,sadness,0.9860823154449463
26,Rising cost of living for all New Zealanders - The housing market and its social impact - Inequity in the electricity market - Behaviour of the supermarket duopoly - Mislabelled sunscreens,neutral,0.9621062278747559
27,Continuing to advocate and ensure equal rights and opportunities for all women and girls across the spectrum,approval,0.9220010638237
28,Resourcing vulnerable groups and individuals in our community to have means to communicate with others and access to essential supplies using digital technology,approval,0.9498406648635864
29,Funding to do urgent and necessary repairs and maintenance to our venue/,approval,0.526611864566803
30,Developing understanding and confidence with business/ contract delivery models to be able to better respond to invitations for community-led service delivery,approval,0.9907637238502502
31,Paying our program facilitators in house,neutral,0.9952964186668396
32,To stay viable,neutral,0.9932477474212646
33,"Enriching lives to create a unified community that enhances individuals with their wellness, education and wellbeing",approval,0.9545485377311707
34,Our main vision is to empower people to make positive choices,approval,0.47964218258857727
35,Becoming a charitable Trust. 2022 NZ and international competitions 2024 or 25 bringing international competition to NZ,neutral,0.9780606627464294
36,"Community safety, keeping our rangatahi busy and out of trouble. Drug and alcohol abuse.",caring,0.812759280204773
37,No idea.,confusion,0.9933348894119263
38,Identifying potential sources for grant funding to maintain level of services for members,neutral,0.8937556147575378
39,Community collaboration and wellness,neutral,0.9890996813774109
40,Engaging volunteers,approval,0.6323445439338684
41,Working for Ōtautahi/Christchurch and its environs to be strongly sustainable ,neutral,0.7497913837432861
42,"Delivery and continued development of programmes. Upgrading our procedures, processes, and policies. Transitioning our digital systems to an integrated model. Fundraising for future delivery of project-based programmes",approval,0.9891067147254944
43,Funding to complete the project. Statutory recognition and protection of this branch of heritage.,approval,0.8198855519294739
44,We are in the process of saving a listed building and having it moved to our current site.,approval,0.733267605304718
45,"Improving our profile so we are a 'first port of call' to the community when help is needed, ensuring we provide services that meet our community's needs, opening a 'nearly open' additional facility",caring,0.579888641834259
46,Sufficient volunteer hours to meet deadlines ,neutral,0.4823375940322876
47,Enough sustainable funding to grow the services to enable us to meet community demand,neutral,0.953416109085083
48,Affordable housing,neutral,0.9804115295410156
49,Growing financial reserves and improving service to community ,approval,0.5181591510772705
50,Secure sustainable funding source,neutral,0.9884769916534424
51,"Financial costs of maintaining buildings urgently needing repair, 50% decrease in release of funds applied for, ",neutral,0.9483837485313416
52,Māori health and wellbeing ,neutral,0.9979658126831055
53,Financial stability to keep our operations costs covered,neutral,0.9920992851257324
54,Ensuring services for customers are available and delivered,neutral,0.9958578944206238
55,Empowering families to be self-reliance and prosper.,desire,0.8825528025627136
56,Health matters across the board . High concern is slow pace of getting Covid vaccinations into the community,sadness,0.3884322941303253
57,"Concerns are that there is a push to amalgamate/merge some orgs to become one, which makes sense on paper, but can be challenging for smaller Māori and Pasifika orgs who provide unique services. Simply merging will lose the key essence of how they work and the nuances that they have. Concerns that big organisations are hogging all of the big contracts and responses as they have all the flash marketing and staff to do their fundraising and coms etc, meanwhile the small orgs are doing it hard on the ground.",neutral,0.8194771409034729
58,Food security; food sovereignty; reducing greenhouse gases,neutral,0.9695547223091125
59,Funding and proving value/viability,neutral,0.9977472424507141
60,Developing a Better Business Case,neutral,0.5785316228866577
61,"Revenue and board As of last week, staffing",neutral,0.9969140291213989
62,"Revenue savings, staff salary reduction, working from home flexibility, future for Auckland",neutral,0.9209988713264465
63,Housing and lack of Emergency Housing options Digital Exclusion for our clients,neutral,0.9897251129150391
64,Focus on increasing engagement with youth and one identified region in our area that was difficult to engage with during COVID restrictions. Sustainable Long-term funding always an issue. Large workloads when all our staff are part-time. Concern re losing staff as they often end up working additional hours. Strengthening our Governance Team.,approval,0.5757476687431335
65,Website platform development,neutral,0.9968441724777222
66,Preparation for growth ,excitement,0.8676071166992188
67,Rangatahi is our key priority,approval,0.6172486543655396
68,Ensuring that organisations in our community have adequate volunteers,optimism,0.4490053951740265
69,Staying visible in our community so that those who would benefit from our service know where we are and feel comfortable coming.,approval,0.891587495803833
70,Keeping the Community engaged,approval,0.7007803320884705
71,Funding,neutral,0.8977287411689758
72,Reaching rangatahi through zoom Maintaining level of interest in education when it was not a priority for some whānau Ensuring our workers and volunteers are well and supported Ensuring good communication with all areas of our contract,approval,0.8479573726654053
73,Get more volunteers ,approval,0.7420536279678345
74,Support and development of our youth,neutral,0.9053844809532166
75,Staff and client safety.,neutral,0.995072066783905
76,Whanau well-being,neutral,0.8235058188438416
77,Supporting our volunteers through rising demand. Recruiting volunteers to leadership positions is difficult. Growing to meet demand,approval,0.894555389881134
78,Staffing ,neutral,0.9862254858016968
79,Engaging with more clients before they are in too deep - financial difficulties,neutral,0.6547738313674927
80,"Volunteer support, funding, Te Tiriti responsibilities ",neutral,0.9922218918800354
81,"Developing multi-purpose value proposition for funders, donors, etc. Establishing dialogue with other similar organisations Sustainable funding, including employment of a CEO Increasing volunteer numbers Finding a suitable new Chairperson",approval,0.5507783889770508
82,Valuing supporting connecting volunteers,approval,0.9940075874328613
83,Ongoing resources/funding with the establishment of Te Pukenga,neutral,0.9541410803794861
84,Keeping our festivals accessible to the public and providing an event that pays its own way as much as possible,approval,0.8122639656066895
85,Maintaining and caring for our current staff Increasing revenue Future proofing the current business Enhancing health and safety,caring,0.7958648204803467
86,Recycling and waste reduction,neutral,0.9302583336830139
87,We have only had volunteer referrals in two of our requested areas gardening and IT support,approval,0.8829373717308044
88,Providing social connections with other community member and raising funds to maintaining our asset,neutral,0.6170518398284912
89,Inclusivity Community safety Mental health ,neutral,0.9778122305870056
90,"Te tangata, Te tangata, Te tangata; both participants and staff",neutral,0.9969781637191772
91,"Ensuring system shifts that happened during Covid aren't totally lost and that central and local govt organisations remain proactively open to changing how they work with communities and what /how they invest and work as enablers. While politicians may want transformation, we're not seeing lots of examples of this in practice = bureaucracies are holding on to power and control. We want to join up with others working nationally in the systems change space so we're collectively maximising impact and effort.",approval,0.4736214578151703
92,"Supporting those with Disabilities at home in the community. Organizing family networks, fundraising engaging with other networks",neutral,0.8269128799438477
93,Ensuring that the mana of the people is upheld. That their concerns are addressed. That they are part of the decision-making process. ,neutral,0.9675348997116089
94,The health and wellbeing of those 50 years and over,neutral,0.9740524888038635
95,Being able to sufficiently resource the constant increasing need for support. And managing an increasing team which will continue to work remotely.,neutral,0.7462249994277954
