,text,emotions,score
0,No time,neutral,0.9953595995903015
1,"I'm on heart medication for stress directly related to the effects of Covid and keeping the doors open to meet the needs of our families, stakeholders and staff",neutral,0.682094156742096
2,We work with many very vulnerable people who would become very ill or die if they got covid. This has been very stressful. Pre vaccination there was the worry for staff that they will contract covid and pass it on to our service users. This has been alleviated a little since vaccination but stress levels will rise again if borders are opened. ,sadness,0.5455648899078369
3,"The uncertainty of Covid19 has had a detrimental impact on the emotional/ moral of staff and volunteers, in some ways it has drawn us together but it has also tired people worrying about stuff. I think the entire country is more stressed than usual and it can be seen with how scratchy people are with each other when normally they would be kinder. Having said that Covid has done a lot of positive things for us too, in terms of funding, the availability of new mental health resources, the use of technology in new ways to bring people together. All in all, it has been a mixed bag but feels more positive than negative. Just worrying now about the effect of border opening, not sure the team of 5 million are ready for that.",approval,0.9428976774215698
4,Added stress since COVID 19 lockdown last year supporting staff and our clients ,approval,0.4871058762073517
5,"It has been very stressful maintaining enough funds to continue providing our services in general. The ONLY reason we have survived financially is because we have a social enterprise which brings in some sustainable funds. There are now less funders to apply to owing to changes in their criteria, area of cover etc and because we are a fairly new organisation that was established only 4 years ago, we have struggled to prove the necessity for our services. Our Manager has been running the organisation for 4 years in a voluntary capacity and works 40+ hours per week and also has a health condition that has an impact on her overall wellbeing and stress levels. ",sadness,0.955898106098175
6,"Good, regular communication with staff was key, listening to their concerns & recognising that although we were all in it together, we each faced different challenges during Covid & needed support to work through them.",approval,0.8091868758201599
7,"The whanau are often called vulnerable people. During lockdown we were informed by several whanau that they do not consider themselves vulnerable but they considered those needing to stay home, not work etc as being more vulnerable",neutral,0.9851994514465332
8,No problems at all within our organisation.,approval,0.8389147520065308
9,"It has been particularly hard for new refugees because of not knowing the systems, language and cultural barriers especially during the lockdown as information was not getting across because of lack of people to interpret or translate. Overseas travel limits have increased isolation and anxiety and most of the family is left behind. Covid situation back in their country is a worry too. ",fear,0.5288053750991821
10,The financial insecurity of the facilitator has meant higher stress and awareness that keeping time set aside for voluntary work impedes earning power.,realization,0.9334326386451721
11,"During covid it was quiet and no one was able to engage in the services we do because of social distancing. This led us to a degree of stress to rethink what we do and how we do it. So, we sat it out and brought another concept into play instead. Diversifying was helpful to make our key service 3rd or 4th on the list and our 3rd and 4th services First - swapped around. It has kept us in popularity and is working.",realization,0.9851163029670715
12,The stress levels have risen so high and I have been put on Oxygen Therapy to cope in the meantime.,neutral,0.9384055733680725
13,"We deal with a lot of depression as a result of isolation and Covid-19. So, we do a lot more counselling.",approval,0.9564590454101562
14,"It has been challenging to sustain the financial wellbeing of the key workers and to consider how to get in more support for their multi-focused roles necessitated by the loss of funding (one major funder) , covid, ending of a three-year research pilot. The relationships in the group are close, trusted and supportive, and this has made a huge difference. It has also helped that as an organisation we were already familiar with online collaboration as we are situated in different areas of the country. ",realization,0.5523615479469299
15,"We have supported refugee families who have no whanau networks in NZ, they are grateful, tearful and thankful especially those with kids and unemployed due to Covid",caring,0.8804186582565308
16,We have a number of staff with close relatives overseas who have still been unable to visit those relatives. This has taken a real toll.,neutral,0.9576692581176758
17,"Identifying those with skills to teach and share learnings within our community, learning to use Zoom and Teams to conduct meetings and share resources etc.",neutral,0.7394782304763794
18,"We found that our meetings using zoom were shorter than when we meet face to face. However, we enjoy being together now.",joy,0.9820024967193604
19,"For staff and volunteers with family in other countries, death of those close to them has been very hard",sadness,0.9658090472221375
20,During Covid 1 lockdown we accommodated 5 youth on another floor. These youth recorded an album while in lockdown. We struggled to feed them but got assistance from city mission.,neutral,0.9570095539093018
21,We had many delays in delivering our programmes throughout the lock downs but manage to deliver our three core programmes throughout the first part of 2021.,disappointment,0.9508523941040039
22,The ever-present media stories that have negative stories. These create a sense of unease and fear.,disapproval,0.2919601798057556
