,text,emotions,score
0,"Under funding of community services is endemic. There is no slack in the system and NZer’s attitude of provision of service on the ""smell of an oily rag"" has shown when a global event like Covid hits, it hits hard and there is a limit to how quickly or effectively our organisations can pivot as we are service-based not production facilities and did not have a lot of money in the first instance. Expecting volunteer Governance to have the necessary skills to be able to lead in these sorts of emergencies is folly. The mental strain is huge and the amount of work just to keep our heads afloat is leading to burnout and depression and a loss of staff who are looking for job security. Money is the panacea but access to it is extremely limited.",disapproval,0.9141507148742676
1,A reflective seminar might be useful for organisations to share some of their experiences in response to Covid-19. Thanks for the opportunity. Regards ,gratitude,0.9817859530448914
2,We have noticed that our volunteers tend to have more mental health issues than previously. Most are beneficiaries and seem to be really struggling in the covid environment. ,realization,0.9930534958839417
3,"I believe it is a concern that the government relies so much on the volunteer sector in general as it is becoming increasingly harder to find and maintain volunteers who can commit to hours and long-term volunteering. Many of our volunteers are people who are on benefits and are pressured to find paid work while on Job Seekers. We train people up and then often lose them to paid work. Also, many small, local, community-based organisations who provide essential services, struggle for recognition and continued funding, especially to pay staff. ",approval,0.39017343521118164
4,"This is confidential information. Please do not use share information here without manager of Soup Kitchen permission. In other words, you can use information provided in a statistical manner but not directly attributing any information to the soup Kitchen by name.",disapproval,0.5337973237037659
5,.,neutral,0.9906360507011414
6,Covid is what it is but it is also important for small businesses to be supported and to keep their place in society as an important niche that is very helpful and required. ,approval,0.9689818024635315
7,Some of the data collecting and information gathering is a barrier for most whanau who need help,neutral,0.9728306531906128
8,"Under-resourcing in voluntary sector, often difficult to access funding, too many hoops to jump through",disappointment,0.2895905077457428
9,Other continuing support needed- Te Tiriti education and Te Reo. Support for developing fit-for-purpose relationships with Mana whenua and Māori Responsiveness plans,desire,0.8158551454544067
10,We take the hard to reach and hard to place cohort and have had no financial assistance from any govt agency. We are very successful with our bailees whom otherwise would sit in remand with nowhere else to go. We work with the whole whanau for wellness for our guys and our service delivery is designed to assist right through to sentencing. Every case has different issues and we roadmap these people to wellness.,desire,0.3727695643901825
11,"Community and voluntary is far wider than charities as currently defined. It would be helpful if the two groups were separated by less of a ""gap""",desire,0.5366666316986084
12,It is hard to find the many grant/funding opportunities,neutral,0.5102910399436951
13,"We have noticed what looks a bit like a general exhaustion around here - we think maybe caused it looks like by catch-up overload. People trying to catch up on the lost time, the work, from last year. Including we suspect but don't have definitive information on, the people within some of the institutions we deal with e.g., local govt and schools. Mid-winter we have had a number of natural crises to deal with. Feeling a bit cold and water logged down here! But still worried about the dry to come. This may also be part of the explanation for what is looking like a type of fatigue in many. ",realization,0.8733891844749451
14,"As an organisation, I feel we have been pretty lucky, and generally speaking, the impact of Covid 19 has resulted in positive change and improvements to our organisation. However, in saying that, without the Covid 19 wage subsidy, I seriously doubt whether we would have survived 2020, and we are immensely grateful for the government response and promotion of kindness and care that they rolled out. Thank you. ",gratitude,0.9855473041534424
15,"Covid funding included, this significant heritage conservation project, like similar projects, is handicapped by being outside the rules of funding and controlling bodies. ",neutral,0.5375484824180603
16,"I believe that transparency in the sector is key, yes COVID had an impact on our sector, but did it have equal impact? Some orgs have a complex layer of need, that they won't have the capacity to fill out these surveys or navigate the funding game. Others will do this well. I.e., How is current funding distributed in our sector? Some of this info will be very useful, and if done regularly it would already paint a clear picture as to who might be struggling vs who is doing ok vs who is doing really well.",approval,0.7814579010009766
17,We have started planning a community wellbeing plan but it is in the draft stage. Being honest COVID took away contact and that is what we are striving to do -reconnect. ,approval,0.848293662071228
18,Resilience is the key. ,neutral,0.9765987396240234
19,"I think it is important that we do not forget the lessons we have learnt from COVID-19 response and not slip back into old ways of working. The key was the openness and trust formed between community, NGOs and Government. Everyone was on the same page, responding to immediate needs in the community. There were less barriers to funding, recognition of local knowledge and the importance of our volunteer community. ",approval,0.947246253490448
20,"We have grown significantly during the pandemic, which has introduced a number of expected issues.",surprise,0.39230766892433167
21,"We have come through quite well, have lost a few older volunteers who don't want to take the risk but apart from that we are lucky to live in NZ",approval,0.8651161193847656
22,"We have seen as an organisation that out of adversity people have changed and grown in ways that we had not envisaged prior to the pandemic. We were hopeful of the positive changes, but not to the extent we imagined for people and in the ways that we thought it would happen. 'Never say never"" has a completely 'deeper' meaning for our staff....even more than it has ever done before. ",optimism,0.8154693841934204
23,"We have been fortunate that a new funder came on board with a 2-year grant, without this we would have been in trouble. Next year with be alright, but there will be more challenges ahead as we will need to secure new funding again. ",optimism,0.8325267434120178
24,"Suspect that with Covid money coming to an end this year that results may be slightly skewed from this survey. In some areas there is way more money floating now e.g., Food security, community resilience/response......that might not be there next year. Important to ask about reasons for increases/decreases in funding levels organisations have experienced as I suspect for many organisations there will be very DIFFERENT drivers e.g. For us it's been that we couldn't do some of our fee-paying workshops (loss of enterprise earnings) and for others, grant levels have been reduced as Councils have less money. Good to also tease apart what kind of relationships are improving and how they're changing e.g. With councils, with other community organisations, with govt agencies - are there any differences people are noticing??",curiosity,0.9783740043640137
25,"There are many, many very tired, stretched Chief Executives of charities. Even more than a year on from COVID, I'm continuing to see this whenever I'm speaking with charity CES. It's quite frankly not sustainable nor should it be. We need significant support for wellbeing of charity CES. They cannot keep delivering over and above what their communities need under such limited resourcing. At the very least, we need to see funding provided for basic infrastructure needs - salaries and overheads - on any project or service delivery. This will at least enable a level of sustainability for smaller charities and take pressure off CES. We then need personal wellbeing support for CES from boards and funders (some of the grants covering governance training could be redirected here).",desire,0.7530729174613953
26,"We continue to evolve how we support our community, continuing to increase and utilise the resources we have available, with systems that allow us to work ""smarter and not harder"". ",approval,0.6074077486991882
27,We were exceptionally grateful to receive money from the Covid 19 wellbeing fund to increase staffing to respond to our community need / grow our capacity to reach more in the community with our services. It is unfortunately only 1 year funding but has been enormously helpful and of benefit in our community. ,gratitude,0.917754590511322
28,"We were kind, we showed we cared and we built our resilience.",optimism,0.318874329328537
29,"Red tape, and racist policies are putting many community initiatives in danger of extinction.",sadness,0.7472347021102905
30,"The pandemic encourages us to be vigilant about our processes, in particular our readiness to adapt to new ways of working and increase our digital tools and resources. It also encourages us to pay more attention to staff wellbeing. The potential issues around funding encourage us to be more collaborative and work in partnership and to be proactive in our discussions with funders.",approval,0.9653106927871704
31,Small whanau businesses and communities like ours have suffered badly during 2020-2021 and will continue to do so unless major change is made that is derived from whanau.,disappointment,0.48710891604423523
