,text,emotions,score
0,The real leanings from COVID may be yet to come.,neutral,0.996343195438385
1,We need to find more grant money for operating costs and food if our community support worker services are going to survive.,approval,0.6352066993713379
2,No,disapproval,0.907338559627533
3,Relevance and good works pay off.,neutral,0.9924350380897522
4,Love the Community touch base for our region,love,0.9217699766159058
5,No,disapproval,0.907338559627533
6,I truly hope that this is not a thing that will come about again,optimism,0.9870092272758484
7,No,disapproval,0.907338559627533
8,No,disapproval,0.907338559627533
9,"Flexible and long-term funding that have significant ""fat"" to fund operational/administrative costs.",neutral,0.9785680174827576
10,We have not had a lot of information specifically for our organisation or our sector. It is a bit more tricky as we look towards opening again.,nervousness,0.3963131010532379
11,"Reliance on social media often not helpful due to wildly conflicting and unhelpful ""advice"" - e.g. use of masks.",disapproval,0.8628453016281128
12,This survey is not really appropriate for the small organisation over which I preside as a parr of a nationwide group and my responses are given as best I can to the questions. I am a little fish in a big pond and if members don’t respond to me on an individual basis due to physical restrictions and lack / high cost of technology/knowledge then I cannot support them as I would wish and the original ethos of the organisation,disapproval,0.9513377547264099
13,"We are looking at taking over other like agencies as they will not survive this storm otherwise. But this requires time. Without charities providing care and support, the health system would be in chaos. During stress we need to provide more services, but gambling funding has gone into hiatus. We spend hours each week begging for funding, just to support the vulnerable. Due to one classification our clients conditions aren't recognised as a disability, but they have a disability. But not sure how to have that status.",confusion,0.7369675040245056
14,Volunteers are becoming harder to find people today have been brought up in such a different world to our over 50s. Not a bad word just a different world and I don’t know what it is that needs to change to encourage new people to volunteering but something has to change to continue having these lovely caring people wanting to be part of our organisations,confusion,0.773644745349884
15,No thank you.,gratitude,0.99722820520401
16,"In a crisis, funding for those operating at the bottom of the cliff is easier than those working to deliver systemic change.",approval,0.7611765265464783
17,"Our major sports event was expected to bring about 11,000 kids total to our region this year. A huge financial loss to the city but the intermediate school kids will never have another chance at this competition. It is age limited.",disappointment,0.9000557661056519
18,As a team we were impressed the resilience of the majority of our whanau.,admiration,0.9903820157051086
19,No,disapproval,0.907338559627533
20,COVID-19 has been a wake up call for the organisation,neutral,0.9915032386779785
21,Building resilience in our learning community is going to be key going forward. As the impact of job losses in the community take hold we are going to need to work closely together to move forward. I don't think we are even close yet to understanding what the full economic impact on our community is going to mean going forward.,approval,0.7683841586112976
22,"Community-led approaches that are collaborative, holistic and responsive to local needs and strengths need to be more formally recognised, valued and invested in.",approval,0.9844214916229248
23,Re-set is a GREAT opportunity,admiration,0.9145646095275879
24,Young people are very resilient and creative. We need to listen to them.,admiration,0.7640131115913391
25,I will send some other material through on next COLLECTIVE steps. (Please excuse capitalisation above. Survey monkey does not allow bolds or underlines.,neutral,0.9977145195007324
26,No,disapproval,0.907338559627533
27,Thanks for the opportunity.,gratitude,0.9953349232673645
28,Thanks!,gratitude,0.9929473400115967
29,No,disapproval,0.907338559627533
30,There was lots of offers of help for charities but because we don't yet have funding for wages we couldn't apply for anything it seemed to me.,disapproval,0.8390701413154602
31,"Funding for salaries and wages! The innovative programmes and services funders want to fund are developed, delivered, monitored and evaluated by people who need to be paid.",neutral,0.4317814111709595
