,text,emotions,score
0,Its hard to say - this is not over yet. At the moment it seems like our volunteer base is loyal and ready to re start. Don't yet know about our clients. We are being approached for help on a one to one basis - loyalty of clients to our community events has yet to be tested. I am guessing that it will take some time to re build that base.,realization,0.7611532807350159
1,That the team can adapt to meet the needs of students. Positive team in challenging environment.,approval,0.8753636479377747
2,In time of need their werected funder that contacted us to see what they could do for us. Without that this community would have families without food.,neutral,0.9663954377174377
3,There are homes for everyone if we look for them...,neutral,0.9265879988670349
4,Alternative ways of working and of delivering services,neutral,0.9896055459976196
5,Public service zealots don't know the needs and issues of businesses/ communities they are supposed to be serving,neutral,0.9816493391990662
6,Pivot and be bold,neutral,0.987515926361084
7,Smart organisations survive!,neutral,0.9742380976676941
8,Importance of networks,neutral,0.9846961498260498
9,The speed of response at a local community level was galvanised faster than Government action,approval,0.6615051031112671
10,little impact day to day but future planning is hard. we come together for our conference once a year only anyway,disappointment,0.8641312718391418
11,Who could have planed for this. The need to have some reserves,neutral,0.622719407081604
12,"Sharing knowledge and resources with other volunteer organisations, particularly during level 3 and 4. We had invaluable local online meetings during lockdown that occurred organically (not through formal organisation) that had key stakeholders and volunteer managers present. This was excellent for sharing resources and knowledge quickly and efficiently, as well as providing a space for managers to talk that I believe improved well-being for all of us during lockdown.",admiration,0.9774491190910339
13,If i can get through the day that I am in then that's all that I need to be able to do - until tomorrow,excitement,0.9312731027603149
14,How we can adapt to change,neutral,0.9921702742576599
15,"Benefit of being confident , positive ,adaptive and agile",optimism,0.8342750668525696
16,Effective communication and engagement with our community,neutral,0.9040322303771973
17,"What fantastic volunteers and staff we have, I knew this but this has added to our awareness of what a great team we have, generous, caring and kind. The support and commitment of staff will get us through we hope.",admiration,0.9906281232833862
18,"Our daily communication with service users, staff and governance has been key.",approval,0.8168163299560547
19,That my members are quite independent,neutral,0.9611119031906128
20,We are adaptable. We are too reliant on outside funding.,approval,0.9042792320251465
21,"Establishing early an integrated team with diverse skills, knowledge and resilience are key to managing a major unforeseen situation.",approval,0.9475198984146118
22,How vulnerable we all are. How just listening and taking time to acknowledging others insecurities can help in so many ways. It costs nothing but can help so much.,approval,0.6738623380661011
23,He tangata he tangata he tangata...,neutral,0.9966650605201721
24,staff & volunteer & client mental health well-being,neutral,0.9659029245376587
25,My most important learning during this time has been the importance of moving quickly and adapting services efficiently.,approval,0.7577797770500183
26,The need for flexibility,neutral,0.810800313949585
27,We have an opportunity to work together more to build back better,approval,0.7046571969985962
28,"Take time to stop and think. Never waste a good crisis. You need to have a clear understanding of the cost of winding down, and have that money set aside. We don't have enough funds to wind down solvently (should we want to). We're very interested in exploring collaboration around strategic themes and not just operational opportunities - i.e back of house functions.",caring,0.5111375451087952
29,the need to understand and recognize the different ways COVID 19 has impacted our stakeholder groups - and act and communicate accordingly and compassionately - one size does not fit all,realization,0.9677037596702576
30,People are not people without people.,neutral,0.9325709342956543
31,There is a need in the pacific community and especially around families,approval,0.974717378616333
32,That things can be more efficient,neutral,0.8759399652481079
33,How to cope with staying home.,curiosity,0.4778057336807251
34,Keeping in touch with (& seeing) staff and Board during lockdown,neutral,0.9840087890625
35,Being able to quickly adapt to changes and appreciating the ability of our senior players to adapt to the changes.,admiration,0.9817718267440796
36,"Clear, brief messages for whanau",neutral,0.9944376945495605
37,"Don’t be too reactive. A slow, well thought out approach is better",approval,0.8457732796669006
38,We can adapt easily,neutral,0.5896041393280029
