,text,emotions,score
0,To be able to provide our service at peak times on Long extended weekends.,neutral,0.5999202728271484
1,RE establishing our regular service - with both volunteers and clients. Both groups have replaced their regular routines. Obtaining money from Charitable Trusts who may be overwhelmed with requests.,neutral,0.7781014442443848
2,Making sure all members of our community effected by the full out of COVID 19 are cared for.,caring,0.9666398763656616
3,Funding! Where all the homeless people will go once the hotels etc want their old customers back...,neutral,0.8960148096084595
4,Politicking,neutral,0.99339759349823
5,Flexibility and responsiveness are keys to survival.,neutral,0.9906850457191467
6,Revenue,neutral,0.99519944190979
7,"Key Priorities at this time are around continuing to support People we support with Pre COVID - post COVID emergency support ie financial, drought, heating , warmth , food banks , transport issues",neutral,0.9824982285499573
8,would normally already have an international conference in advanced planning stage for November,neutral,0.9794057011604309
9,Getting the funds needed,neutral,0.8837351202964783
10,"Making preparations for opening up again at level one ( hopefully ), to the public and finding funding for running costs",optimism,0.9881594181060791
11,Sustainable funding,neutral,0.981600284576416
12,Resuming field activities with children,approval,0.5128942728042603
13,Getting our service started again when it is safe to do so.Having enough funding to continue our service. Meeting health and safety requirements which is especially difficult in the shared space we rent.,approval,0.5272634625434875
14,Uncertainty around Budget implications for health and disability sector funding increases. Lots of focus on additional money but no specifics yet.,neutral,0.579251766204834
15,Mental well-being of members. All outside my initial bubble and lack of response to my offer of support during lockdown. Minor in the scheme of things but cost of landline to mobile phone number is expensive and to be avoided by some of my elderly members.,sadness,0.9378331303596497
16,"Concern: we are funded with multi year contracts for operational costs, but not wages. All wage grants have stopped and its very concerning. We've had to let 1 staff member go. Priority:our clients have higher anxiety, needing higher support and we were already underfunded in this area. Our priority is finding other ways to be funded. It takes hours each week to find money to continue our services. Taking our services online (finding resources), but maintaining face to face support.",caring,0.5160910487174988
17,Availability of PPE has been and continues to be a major issue. Support for elderly people in the community has been challenging. Queuing and cashless transactions have proved very challenging for older people.,disappointment,0.4808548390865326
18,Maintaining our volunteers. Most of our volunteers are retired people and helping them feel safe back at our organisation has been difficult and I sympathise with them. Without our volunteers we have no organisation they are the reason why we can do what we do. We are nothing without our valuable volunteers,sadness,0.4640263020992279
19,Our main income activity is in demand now but can be seen as a luxury so have concerns going forward regarding the developing economic outlook,caring,0.7623634338378906
20,Volunteer recruitment/training & future sustainability.,neutral,0.9344938397407532
21,Our main concern at the moment is the impact the situation has on our clients and the knock on effect that has for people continuing to attend our classes and support groups.,caring,0.9507793188095093
22,"Financial Sustainability, Excellence and Impact.",neutral,0.9958450198173523
23,Expected increase in demand for our services and support - in particular for emergency funding of which we only have a set amount to distribute,surprise,0.40639063715934753
24,Resourcing and admin support.,neutral,0.9893869161605835
25,We are currently working on a disruption plan,neutral,0.9965291619300842
26,"Keeping our marae viable, & staff employed, as we anticipate reduced usage in the short term, if not longer. Supporting/empowering our Maori community depending on their needs. Concern re our contracts which expire June 30 & currently have not been renewed.",optimism,0.5982211232185364
27,Re- instating our coaching programmes And looking at more opportunities to offer play to our community. Biggest concern is access to funding.,approval,0.426283061504364
28,Supporting our communities,caring,0.9498417377471924
29,Maintaining connections,neutral,0.9478288888931274
30,Ensuring the business is still financially viable,neutral,0.716441810131073
31,Lack of visitors ie travelling public NZ or overseas.,neutral,0.9874195456504822
32,To ensure we can fully operate the junior sport season commencing October 20 through to April 21 including being able to pay our accredited coaches.,neutral,0.4968879222869873
33,Reacting to economic fallout in our small tourism reliant community,sadness,0.9657503366470337
34,Due to COVID 19 we have had to curtail all our fundraising events that normally occur between March and August therefore leaving us in a position where we have to turn down requests for assistance.,approval,0.8174828886985779
35,Staff and student well-being after what has been a very stressful time for most.,caring,0.8319445848464966
36,"Ongoing funding provision, mandate and support for communities and agencies to be strategically part of local level responses in recovery phase. Big agencies will dominate because of their power/resource base",neutral,0.9207214117050171
37,How best to support our sector,curiosity,0.7826481461524963
38,"Maintaining momentum, taking the ""best"" of lockdown to see how we can be leaner and smarter",admiration,0.5545105338096619
39,Keeping our community connected. Especially rangatahi. Youth have a lot to contend with and are vulnerable to isolation. We want to keep them connected so providing an range of ways to connect is our plan.,desire,0.47981518507003784
40,"1 Delivery of quality welfare services with sufficient time to engage with clients, assess deeper needs, advocate for them, make referrals and provide follow up if required. 2 Continue to deliver intensive services for our traditional clients who were already 'at the bottom of the heap'. Ensure that they do not experience another generation of disadvantage and compound inequity in NZ. 3 Put capability and capacity in place so that the services are there for new clients in 3-6-12 months. Our staff have been overwhelmed by the volume of immediate demand and do not have time or experience to engage in mid-term planning. This planning requires community involvement, inter-agency collaboration AND strong funder support AT THE SAME TIME, IN THE SAME PLACE. 4 We need to grab opportunities to resolve long-standing problems. (Eg - government's Housing First programme - funding of social housing and wrap-around services is an excellent example of this).",neutral,0.8476477861404419
41,Our main priorities is to try & get as many 10 week Classes thru as we possibly can,approval,0.8626469969749451
42,"Will there be enough grants available for us to apply for? Will MSD, Corrections, have new contracts available that will be accessible to new providers or will they just go to existing providers in the community?",curiosity,0.7806273102760315
43,Maintaining a presence and funding,admiration,0.38977620005607605
44,Nil,neutral,0.9799578785896301
45,keeping in touch with the vulnerable people who are not IT savvy. keeping in touch with all to ensure the mental stress is diminished,caring,0.8904193639755249
46,Finding funding to allow sport areas to assist in delivery of our programmes,desire,0.7962169051170349
47,the 2021 fair and ensuring we have a committee to run it,approval,0.8298631906509399
48,Funding,neutral,0.8977287411689758
49,"Key concerns are: finding funding to pay wages so that we can maintain the knowledge of our admin team; follow through from our product donors, we pay for tests and some regions we don't have grant funding and so we lose the product; being able to provide better service to our recipient families by having enough donors for them so that they are not having to find product elsewhere.",neutral,0.692948579788208
50,"What funding is going to look like in 5,6,7 months down the track. Gaming grants were 25% of our income. We will now be competing against more organizations for a decreasing pool of funds.",realization,0.7062052488327026
51,"Funding, long term projects, safety obligations, loneliness and disconnection in our community",neutral,0.9003427028656006
52,Ascertaining what we need to shift and change as we move back our of the restrictions that becomes part of a new normal.,realization,0.8118933439254761
53,"We had planned new services, and research, to launch in the next 12months and had saved up enough to pay for this. Funds now have go to just operating our basic service. Estimate that COVID has set back our expansion plans 12-18 months.",neutral,0.695605456829071
54,"My priority is stabilising the organisation, generating new income streams, and growing the organisation.",approval,0.6574020981788635
55,Determining when it may be safe to return to physical workshops. rescheduling a ceremony that was to have happened on 2 April.,neutral,0.5457527041435242
56,funding for renovations that have been carried out,neutral,0.9669318795204163
57,"Finding the gaps to those in desperate need. Collaborating with others in the community to meet these needs. Working with people/families to restore and move towards positive outcomes and hope for the future. We seek to empower the individual, whānau and the community",approval,0.9873007535934448
58,"We have a key role, with the sector, in building donor confidence that they can still effectively partner with effective and transparent organisations to achieve transformational impact where it is most needed. Additionally, trying help the public and donors understand where the very broad, wide and sometimes undefined role and response of Government begins and ends so that genuine need in the community is better understood.",approval,0.9419723749160767
