,Field,Text,sentiment,sentiment_group,subjectivity,subjectivity_group
0,priorities and concerns,To be able to provide our service at peak times on Long extended weekends.,0.225,Neutral,0.5125,More Subjective
1,priorities and concerns,RE establishing our regular service - with both volunteers and clients. Both groups have replaced their regular routines. Obtaining money from Charitable Trusts who may be overwhelmed with requests.,0.19999999999999998,Neutral,0.317948717948718,More Objective
2,priorities and concerns,Making sure all members of our community effected by the full out of COVID 19 are cared for.,0.425,Positive,0.7194444444444444,More Subjective
3,priorities and concerns,Funding! Where all the homeless people will go once the hotels etc want their old customers back...,0.05,Neutral,0.1,More Objective
4,priorities and concerns,Politicking,0.0,Neutral,0.0,More Objective
5,priorities and concerns,Flexibility and responsiveness are keys to survival.,0.0,Neutral,0.0,More Objective
6,priorities and concerns,Revenue,0.0,Neutral,0.0,More Objective
7,priorities and concerns,"Key Priorities at this time are around continuing to support People we support with Pre COVID - post COVID emergency support ie financial, drought, heating , warmth , food banks , transport issues",0.0,Neutral,0.5,More Subjective
8,priorities and concerns,would normally already have an international conference in advanced planning stage for November,0.18333333333333335,Neutral,0.4166666666666667,More Objective
9,priorities and concerns,Getting the funds needed,0.0,Neutral,0.0,More Objective
10,priorities and concerns,"Making preparations for opening up again at level one ( hopefully ), to the public and finding funding for running costs",0.0,Neutral,0.06666666666666667,More Objective
11,priorities and concerns,Sustainable funding,0.0,Neutral,0.0,More Objective
12,priorities and concerns,Resuming field activities with children,0.0,Neutral,0.0,More Objective
13,priorities and concerns,Getting our service started again when it is safe to do so.Having enough funding to continue our service. Meeting health and safety requirements which is especially difficult in the shared space we rent.,-0.16666666666666666,Neutral,0.6666666666666666,More Subjective
14,priorities and concerns,Uncertainty around Budget implications for health and disability sector funding increases. Lots of focus on additional money but no specifics yet.,0.0,Neutral,0.0,More Objective
15,priorities and concerns,Mental well-being of members. All outside my initial bubble and lack of response to my offer of support during lockdown. Minor in the scheme of things but cost of landline to mobile phone number is expensive and to be avoided by some of my elderly members.,-0.13,Neutral,0.22999999999999998,More Objective
16,priorities and concerns,"Concern: we are funded with multi year contracts for operational costs, but not wages. All wage grants have stopped and its very concerning. We've had to let 1 staff member go. Priority:our clients have higher anxiety, needing higher support and we were already underfunded in this area. Our priority is finding other ways to be funded. It takes hours each week to find money to continue our services. Taking our services online (finding resources), but maintaining face to face support.",0.14375,Neutral,0.41875,More Objective
17,priorities and concerns,Availability of PPE has been and continues to be a major issue. Support for elderly people in the community has been challenging. Queuing and cashless transactions have proved very challenging for older people.,0.34479166666666666,Neutral,0.7083333333333334,More Subjective
18,priorities and concerns,Maintaining our volunteers. Most of our volunteers are retired people and helping them feel safe back at our organisation has been difficult and I sympathise with them. Without our volunteers we have no organisation they are the reason why we can do what we do. We are nothing without our valuable volunteers,0.125,Neutral,0.5,More Subjective
19,priorities and concerns,Our main income activity is in demand now but can be seen as a luxury so have concerns going forward regarding the developing economic outlook,0.18333333333333335,Neutral,0.26666666666666666,More Objective
20,priorities and concerns,Volunteer recruitment/training & future sustainability.,0.0,Neutral,0.125,More Objective
21,priorities and concerns,Our main concern at the moment is the impact the situation has on our clients and the knock on effect that has for people continuing to attend our classes and support groups.,0.16666666666666666,Neutral,0.3333333333333333,More Objective
22,priorities and concerns,"Financial Sustainability, Excellence and Impact.",0.0,Neutral,0.0,More Objective
23,priorities and concerns,Expected increase in demand for our services and support - in particular for emergency funding of which we only have a set amount to distribute,0.022222222222222216,Neutral,0.5777777777777778,More Subjective
24,priorities and concerns,Resourcing and admin support.,0.0,Neutral,0.0,More Objective
25,priorities and concerns,We are currently working on a disruption plan,0.0,Neutral,0.4,More Objective
26,priorities and concerns,"Keeping our marae viable, & staff employed, as we anticipate reduced usage in the short term, if not longer. Supporting/empowering our Maori community depending on their needs. Concern re our contracts which expire June 30 & currently have not been renewed.",0.0,Neutral,0.35,More Objective
27,priorities and concerns,Re- instating our coaching programmes And looking at more opportunities to offer play to our community. Biggest concern is access to funding.,0.5,Positive,0.5,More Subjective
28,priorities and concerns,Supporting our communities,0.25,Neutral,0.25,More Objective
29,priorities and concerns,Maintaining connections,0.0,Neutral,0.0,More Objective
30,priorities and concerns,Ensuring the business is still financially viable,0.0,Neutral,0.0,More Objective
31,priorities and concerns,Lack of visitors ie travelling public NZ or overseas.,0.0,Neutral,0.06666666666666667,More Objective
32,priorities and concerns,To ensure we can fully operate the junior sport season commencing October 20 through to April 21 including being able to pay our accredited coaches.,0.5,Positive,0.625,More Subjective
33,priorities and concerns,Reacting to economic fallout in our small tourism reliant community,-0.024999999999999994,Neutral,0.30000000000000004,More Objective
34,priorities and concerns,Due to COVID 19 we have had to curtail all our fundraising events that normally occur between March and August therefore leaving us in a position where we have to turn down requests for assistance.,-0.04351851851851853,Neutral,0.43796296296296294,More Objective
35,priorities and concerns,Staff and student well-being after what has been a very stressful time for most.,0.35,Neutral,0.4,More Objective
36,priorities and concerns,"Ongoing funding provision, mandate and support for communities and agencies to be strategically part of local level responses in recovery phase. Big agencies will dominate because of their power/resource base",-0.26666666666666666,Neutral,0.3666666666666667,More Objective
37,priorities and concerns,How best to support our sector,1.0,Positive,0.3,More Objective
38,priorities and concerns,"Maintaining momentum, taking the ""best"" of lockdown to see how we can be leaner and smarter",1.0,Positive,0.3,More Objective
39,priorities and concerns,Keeping our community connected. Especially rangatahi. Youth have a lot to contend with and are vulnerable to isolation. We want to keep them connected so providing an range of ways to connect is our plan.,-0.25,Neutral,0.75,More Subjective
40,priorities and concerns,"1 Delivery of quality welfare services with sufficient time to engage with clients, assess deeper needs, advocate for them, make referrals and provide follow up if required. 2 Continue to deliver intensive services for our traditional clients who were already 'at the bottom of the heap'. Ensure that they do not experience another generation of disadvantage and compound inequity in NZ. 3 Put capability and capacity in place so that the services are there for new clients in 3-6-12 months. Our staff have been overwhelmed by the volume of immediate demand and do not have time or experience to engage in mid-term planning. This planning requires community involvement, inter-agency collaboration AND strong funder support AT THE SAME TIME, IN THE SAME PLACE. 4 We need to grab opportunities to resolve long-standing problems. (Eg - government's Housing First programme - funding of social housing and wrap-around services is an excellent example of this).",0.23162878787878788,Neutral,0.44848484848484854,More Objective
41,priorities and concerns,Our main priorities is to try & get as many 10 week Classes thru as we possibly can,0.2222222222222222,Neutral,0.611111111111111,More Subjective
