Respondent ID,What is your main role within the organisation?,Other role (please specify),What type of organisation do you represent? (Please choose from the list below),Other (please specify),Approximately how many paid staff and/or contractors work with/for your organisation?,Approximately how many volunteers work with your organisation each month?,What is the average number of hours worked by your organisation's volunteers each month?,What was the approximate annual income / operations budget for your organisation for the last financial year?,"Of the following options, which best describes the focus of your organisation's activities or services?",Other (please specify),Please tell us in which country(s) your organisation operates? ,Other (please specify),Region: Northland/Te Tai Tokerau,Region: Auckland/Tāmaki-makau-rau,Region: Waikato,Region: Bay of Plenty/Te Moana-a-Toi,Region: Gisborne/Te Tai Rāwhiti,Region: Hawke's Bay/Te Matau-a-Māui,Region: Taranaki,Region: Manawatū-Whanganui,Region: Wellington/Te Whanga-nui-a-Tara,Region: Tasman/Te Tai-o-Aorere,Region: Nelson/Whakatū,Region: Marlborough/Te Tauihu-o-te-waka,Region: West Coast /Te Tai Poutini,Region: Canterbury/Waitaha,Region: Otago/Ōtākou,Region: Southland/Murihiku,Region: All regions of the North Island/Te Ika-a-Māui,Region: All regions of the South Island/Te Wai Pounamu,Region: All regions of Aotearoa/New Zealand,Region: We don't operate in Aotearoa/New Zealand,Ethnic Groups: New Zealand European/Pakeha/Kiwi,Ethnic Groups: Māori,Ethnic Groups: Samoan,Ethnic Groups: Cook Islands Māori,Ethnic Groups: Tongan,Ethnic Groups: Niuean,Ethnic Groups: Tokelauan,Ethnic Groups: Fijian,Ethnic Groups: Southeast Asian,Ethnic Groups: Chinese,Ethnic Groups: Indian,Ethnic Groups: Middle Eastern/Latin American/African (MELAA),Ethnic Groups: Continental European,Ethnic Groups: Other (Please specify),"As with the general population, the wellbeing of the paid staff and volunteers within the tangata whenua, community and voluntary sector has taken successive blows. Can you please estimate the levels of concern your team have expressed (about the multiple factors listed below) since the beginning of the COVID-19 pandemic? Childcare Concern",Concern Group: Home schooling,Concern Group: Relatives/whānau,Concern Group: Essential supplies,Concern Group: Being infected with COVID-19,Concern Group: Friends/family/whānau getting infected,Concern Group: Keeping job,Concern Group: Personal finances,Concern Group: Any exposure to COVID-19,Concern Group: Supervisor support,Concern Group: Increased workload since COVID-19 restrictions began,Concern Group: Digital technology skills,Concern Group: Our digital resources,Concern Group: Lack of funding/resources for things I wanted our organisation to do,Concern Group: Other concerns (please specify),Are your funding/revenue levels for this past 12 months different from the year previous? (Please show us on the scale below),"If you had an increase or decrease in revenue (related to COVID-19) in the last 12 months, please estimate, in dollar terms, how much you expect it to change over the next 12 months. Estimated funding level for previous year:",Estimated funding level for coming year:,To what level has your service delivery changed since pre-COVID-19 (March 2020)? (In terms of cuts or increases),Can you please tell us the main reasons for these changes in service delivery?,What types of financial/non-financial support did your organisation receive since the beginning of COVID-19? (Please choose all that apply) None of the above,Type of Financial/Non-financial Support: Government COVID-19 wage subsidy scheme,Type of Financial/Non-financial Support: Government COVID-19 small business cashflow scheme,Type of Financial/Non-financial Support: Other Government COVID-19 funding,Type of Financial/Non-financial Support: New funding sources,Type of Financial/Non-financial Support: Voluntary support,Type of Financial/Non-financial Support: Donated goods or services,Type of Financial/Non-financial Support: Other (please specify),"Based on your organisation's present financial reserves, approximately how long can you maintain your current levels of staff and/or service delivery?",How Long Financial Reserves: Other (please specify),Five Main Challenges: Ensuring sufficient revenue to maintain viability,Five Main Challenges: Being able to pay our staff,Five Main Challenges: Changing our service provision to meet public health criteria,Five Main Challenges: Meeting the needs of the people we support,Five Main Challenges: Ensuring our staff and volunteers are well supported,Five Main Challenges: Developing new service offerings,Five Main Challenges: Loss of volunteers,Five Main Challenges: Meeting levels of work required,Five Main Challenges: Other (please specify),Five Opportunities or Personal Outcomes: Increasing our volunteer base,Five Opportunities or Personal Outcomes: Improving our profile,Five Opportunities or Personal Outcomes: Greater appreciation for and recognition of our work,Five Opportunities or Personal Outcomes: New ways of connecting with funders and/or supporters,Five Opportunities or Personal Outcomes: Working closer with other organisations for a common good,Five Opportunities or Personal Outcomes: Delivering new types of services,Five Opportunities or Personal Outcomes: Faster decision making,Five Opportunities or Personal Outcomes: Longer contracts or funding agreements,Five Opportunities or Personal Outcomes: Being more flexible and adjusting our services,Five Opportunities or Personal Outcomes: Better business continuity planning,Five Opportunities or Personal Outcomes: Options around where and how we work,Five Opportunities or Personal Outcomes: No new opportunities or positive outcomes,Five Opportunities or Personal Outcomes: Other (please specify),Can you please tell us your organisation's current key priorities and/or concerns?,Non Financial Support your Organisation Needs: More volunteers,Non Financial Support your Organisation Needs: HR support and advice,Non Financial Support your Organisation Needs: Digital technology,Non Financial Support your Organisation Needs: Legal obligations,Non Financial Support your Organisation Needs: Grant writing,Non Financial Support your Organisation Needs: Fundraising,Non Financial Support your Organisation Needs: Resources to manage volunteers,Non Financial Support your Organisation Needs: Governance,Non Financial Support your Organisation Needs: Leadership,Non Financial Support your Organisation Needs: Innovation and strategic advice,Non Financial Support your Organisation Needs: Marketing and communications,Non Financial Support your Organisation Needs: Staff training,Non Financial Support your Organisation Needs: Support to connect and collaborate with others,Non Financial Support your Organisation Needs: Other (please specify),Adjustments: Reduced number of paid staff,Adjustments: Reduced staff wages/salaries,Adjustments: Reduced number of volunteers,Adjustments: Increased volunteer support,Adjustments: Increased/restored wages/salaries,Adjustments: Increased number of paid staff,Adjustments: Made no changes,Adjustments: Other (please specify),Ways of Operating Changes: Reduced or stopped some services,Ways of Operating Changes: Seeking new funding sources,Ways of Operating Changes: Delivering more remote online or phone services,Ways of Operating Changes: Developing new face-to-face service offerings,Ways of Operating Changes: Reducing costs to users,Ways of Operating Changes: Increasing costs to users,"Ways of Operating Changes: Changing our organisation's purpose, rules and/or approaches",Ways of Operating Changes: No changes,Can you give us some examples of other innovations and changes you have made or adopted?,How confident are you that your organisation will be still operating in six months time?,"What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Collaboration between organisations","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Sector wide leadership to provide voice and influence","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Strengthening financial and management knowledge in the sector","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Strengthening governance knowledge and skills in the sector","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Access to information and data in one place","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Funding to cover salaries and operational costs","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Digital marketing and online promotion","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Using online tools","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Delivering services digitally","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Community-led development","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Mergers of organisations","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? None of the above","What sorts of changes do you think are needed to strengthen the tangata whenua, community and voluntary sector in the future? Other (Please specify).",What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) None of the above,What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Relationships we established,What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Being nimble and flexible,"What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Using technology to connect, communicate and deliver services",What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Working collectively with other organisations for a common good,What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Locally led decision-making about where resources are needed,What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Strengthening local relationships,What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Stronger advocacy to government,What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Stronger local leadership,What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Greater trust,What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Sharing knowledge,What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Better use of data,What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Options for where staff and volunteers work,What are the best things from the COVID-19 experience that will help to maintain your organisation? (please pick from the list below) Other (please specify),"Can you please give us an example of collaboration, sharing, partnerships and/or strategic decisions your organisation has made with other organisations, groups and/or government departments (since the beginning of the COVID-19 pandemic)?","The COVID-19 pandemic has had multiple structural/operational/financial impacts upon our tangata whenua, community and voluntary organisations in Aotearoa/New Zealand. That considered, the pandemic may have also had impacts on the wellbeing and emotional/morale status and stress levels of people in these organisations. Can you tell us a short story about your experiences?",Is there anything else you would like to share with us or comment on?,We seek your permission to include your anonymised responses in our dataset.
12894661762,Chief Executive or Executive Director,,Charitable Trust,,6-10 people,11-20 volunteers,12,"$200,000-$499,000",Other (please specify),Volunteer centre - building the capacity and capability of the sector,Aotearoa/New Zealand only,,,,,,,,,,Wellington/Te Whanga-nui-a-Tara,,,,,,,,,,,,New Zealand European/Pakeha/Kiwi,Māori,Samoan,Cook Islands Māori,Tongan,Niuean,Tokelauan,Fijian,Southeast Asian,Chinese,Indian,Middle Eastern/Latin American/African (MELAA),Continental European,,Quite a bit concerned,Quite a bit concerned,Somewhat concerned,Somewhat concerned,Quite a bit concerned,Quite a bit concerned,N/A or not concerned,Somewhat concerned,Quite a bit concerned,N/A or not concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,,No change in funding/revenue,,,Small increases,,,Government COVID-19 wage subsidy scheme,,Other Government COVID-19 funding,,,,,Four to five months,,,,,,Ensuring our staff and volunteers are well supported,Developing new service offerings,,,,,,,,Working closer with other organisations for a common good,Delivering new types of services,,,Being more flexible and adjusting our services,Better business continuity planning,Options around where and how we work,,,To source funding for a research project to explore how we can work better with Māori and Pacifica communities.,,,,,,,,,,,Marketing and communications,,Support to connect and collaborate with others,,,,,,Increased/restored wages/salaries,Increased number of paid staff,,,,Seeking new funding sources,Delivering more remote online or phone services,,,,,,,Completely confident,Collaboration between organisations,Sector wide leadership to provide voice and influence,Strengthening financial and management knowledge in the sector,Strengthening governance knowledge and skills in the sector,Access to information and data in one place,Funding to cover salaries and operational costs,Digital marketing and online promotion,Using online tools,Delivering services digitally,Community-led development,,,,,Relationships we established,Being nimble and flexible,"Using technology to connect, communicate and deliver services",Working collectively with other organisations for a common good,Locally led decision-making about where resources are needed,Strengthening local relationships,Stronger advocacy to government,Stronger local leadership,Greater trust,Sharing knowledge,Better use of data,,,We collaborated with other community organisations to establish an outreach service,,,I agree to the inclusion of my responses
12893889883,Chief Executive or Executive Director,,Charitable Trust,,1-5 people,21-50 volunteers,230,"$200,000-$499,000","Culture, arts and heritage",,Aotearoa/New Zealand only,,,,,,,,,,,,,,,,,Southland/Murihiku,,,,,New Zealand European/Pakeha/Kiwi,Māori,Samoan,,Tongan,,,Fijian,,Chinese,Indian,,Continental European,,N/A or not concerned,N/A or not concerned,Somewhat concerned,Somewhat concerned,Quite a bit concerned,Somewhat concerned,N/A or not concerned,Somewhat concerned,Somewhat concerned,N/A or not concerned,Somewhat concerned,N/A or not concerned,N/A or not concerned,Somewhat concerned,,25% increase,"10,000","5,000",Same level of services,No change thanks to our ability to respond to changing delivery,,,,Other Government COVID-19 funding,New funding sources,,,,Two to three months,,Ensuring sufficient revenue to maintain viability,,Changing our service provision to meet public health criteria,Meeting the needs of the people we support,Ensuring our staff and volunteers are well supported,,Loss of volunteers,,,,Improving our profile,Greater appreciation for and recognition of our work,New ways of connecting with funders and/or supporters,Working closer with other organisations for a common good,,Faster decision making,,Being more flexible and adjusting our services,,,,,Growing new business; replacing operational hardware,,,Digital technology,,Grant writing,Fundraising,Resources to manage volunteers,,,,,,,,,,,,,Increased number of paid staff,,,,,Delivering more remote online or phone services,,,,,,,Fairly confident,,,,,,Funding to cover salaries and operational costs,,,Delivering services digitally,,,,,,,Being nimble and flexible,,Working collectively with other organisations for a common good,,,,,,,,,,Govt subsidies,No time,,I agree to the inclusion of my responses
12893881484,Chief Executive or Executive Director,,Charitable Trust,,1-5 people,1-5 volunteers,4,"$200,000-$499,000",Other (please specify),Business support,Aotearoa/New Zealand only,,,,,,,,,,,,,,,,Otago/Ōtākou,,,,,,New Zealand European/Pakeha/Kiwi,Māori,Samoan,Cook Islands Māori,Tongan,Niuean,Tokelauan,Fijian,Southeast Asian,Chinese,Indian,Middle Eastern/Latin American/African (MELAA),Continental European,,N/A or not concerned,N/A or not concerned,N/A or not concerned,N/A or not concerned,N/A or not concerned,N/A or not concerned,N/A or not concerned,Somewhat concerned,Somewhat concerned,N/A or not concerned,N/A or not concerned,N/A or not concerned,N/A or not concerned,N/A or not concerned,,No change in funding/revenue,,,Small increases,New clients,,Government COVID-19 wage subsidy scheme,,,,,,,More than one year,,,,Changing our service provision to meet public health criteria,Meeting the needs of the people we support,Ensuring our staff and volunteers are well supported,Developing new service offerings,,Meeting levels of work required,,,Improving our profile,Greater appreciation for and recognition of our work,,Working closer with other organisations for a common good,,,,Being more flexible and adjusting our services,Better business continuity planning,,,,,,,,,,,,,,,,Staff training,,,,,,,,,Made no changes,,,,Delivering more remote online or phone services,,,,,,,Completely confident,Collaboration between organisations,Sector wide leadership to provide voice and influence,Strengthening financial and management knowledge in the sector,Strengthening governance knowledge and skills in the sector,Access to information and data in one place,,,,,Community-led development,,,,,Relationships we established,Being nimble and flexible,"Using technology to connect, communicate and deliver services",,,,,,,,,Options for where staff and volunteers work,,,,,I agree to the inclusion of my responses
12893850629,Chief Executive or Executive Director,,Incorporated society,,6-10 people,1-5 volunteers,10,"$500,000-$999,999",Community and social services,,Aotearoa/New Zealand only,,,Auckland/Tāmaki-makau-rau,,,,,,,,,,,,,,,,,,,New Zealand European/Pakeha/Kiwi,Māori,Samoan,Cook Islands Māori,Tongan,Niuean,Tokelauan,Fijian,Southeast Asian,Chinese,Indian,Middle Eastern/Latin American/African (MELAA),Continental European,,N/A or not concerned,N/A or not concerned,Somewhat concerned,Somewhat concerned,Quite a bit concerned,N/A or not concerned,Extremely concerned,Quite a bit concerned,Somewhat concerned,N/A or not concerned,Quite a bit concerned,N/A or not concerned,N/A or not concerned,Quite a bit concerned,,50% decline,"10,000","40,000",Moderate cuts,We operate an ECE. We have experienced a drop in enrolments and are losing teachers we cannot replace.,,Government COVID-19 wage subsidy scheme,Government COVID-19 small business cashflow scheme,Other Government COVID-19 funding,,,,,Six to twelve months,,Ensuring sufficient revenue to maintain viability,Being able to pay our staff,Changing our service provision to meet public health criteria,Meeting the needs of the people we support,Ensuring our staff and volunteers are well supported,,,,,,,Greater appreciation for and recognition of our work,,,Delivering new types of services,Faster decision making,,Being more flexible and adjusting our services,Better business continuity planning,,,,Maintaining cashflow through external funding grants. Attracting replacement ECE teachers. Attracting more students.,,,,Legal obligations,Grant writing,Fundraising,,Governance,,,,,,Legal advice,Reduced number of paid staff,Reduced staff wages/salaries,,,,,,,Reduced or stopped some services,,Delivering more remote online or phone services,,,,,,,Somewhat confident,,,Strengthening financial and management knowledge in the sector,Strengthening governance knowledge and skills in the sector,,Funding to cover salaries and operational costs,,,,,,,,,,Being nimble and flexible,"Using technology to connect, communicate and deliver services",,Locally led decision-making about where resources are needed,,,,Greater trust,Sharing knowledge,,,,Greater coordination between our organisation and others that deliver similar services in our district,"I'm on heart medication for stress directly related to the effects of Covid and keeping the doors open to meet the needs of our families, stakeholders and staff","Under funding of community services is endemic. There is no slack in the system and NZer’s attitude of provision of service on the ""smell of an oily rag"" has shown when a global event like Covid hits, it hits hard and there is a limit to how quickly or effectively our organisations can pivot as we are service-based not production facilities and did not have a lot of money in the first instance. Expecting volunteer Governance to have the necessary skills to be able to lead in these sorts of emergencies is folly. The mental strain is huge and the amount of work just to keep our heads afloat is leading to burnout and depression and a loss of staff who are looking for job security. Money is the panacea but access to it is extremely limited.",I agree to the inclusion of my responses
12892950138,Komiti Mema /Committee Member,,Voluntary organisation,,No paid people,1-5 volunteers,20,"$0-$24,999",Community and social services,,Aotearoa/New Zealand only,,,Auckland/Tāmaki-makau-rau,Waikato,,,,,Manawatū-Whanganui,Wellington/Te Whanga-nui-a-Tara,,Nelson/Whakatū,,,Canterbury/Waitaha,Otago/Ōtākou,,,,,,New Zealand European/Pakeha/Kiwi,Māori,,,,,,Fijian,Southeast Asian,Chinese,,,Continental European,,Somewhat concerned,Somewhat concerned,Quite a bit concerned,Quite a bit concerned,Quite a bit concerned,Quite a bit concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Our community support events had to be cancelled because of Lockdowns. ,75% decline,,,Substantial increases,People identify the need for self-sufficiency and mutual support in their communities ,None of the above,,,,,,,,I'm not sure,,Ensuring sufficient revenue to maintain viability,,Changing our service provision to meet public health criteria,Meeting the needs of the people we support,Ensuring our staff and volunteers are well supported,Developing new service offerings,,,,,Improving our profile,Greater appreciation for and recognition of our work,,Working closer with other organisations for a common good,Delivering new types of services,,,,,,,,"Sufficient funding to create a website and for a part-time coordinator as most of us are volunteering. Adequate support in running online events, ",More volunteers,HR support and advice,Digital technology,Legal obligations,,,Resources to manage volunteers,Governance,Leadership,Innovation and strategic advice,Marketing and communications,Staff training,,,Reduced number of paid staff,,,,,,,We lost most of our volunteer steering committee members due to Covid-19 effects on their lives.,,,Delivering more remote online or phone services,,,,,,,Fairly confident,Collaboration between organisations,Sector wide leadership to provide voice and influence,Strengthening financial and management knowledge in the sector,Strengthening governance knowledge and skills in the sector,,Funding to cover salaries and operational costs,Digital marketing and online promotion,Using online tools,Delivering services digitally,Community-led development,,,,,Relationships we established,Being nimble and flexible,"Using technology to connect, communicate and deliver services",Working collectively with other organisations for a common good,,Strengthening local relationships,,,,Sharing knowledge,,,,,,A reflective seminar might be useful for organisations to share some of their experiences in response to Covid-19. Thanks for the opportunity. Regards ,I agree to the inclusion of my responses
12892446381,Kaihautū/Trustee,,Disability organisation,,No paid people,6-10 volunteers,110,"$0-$24,999",Community and social services,,Aotearoa/New Zealand only,,,,,,,,Taranaki,,,,,,,,,,,,,,New Zealand European/Pakeha/Kiwi,Māori,,,,,,,,,,,,,,,Quite a bit concerned,,,,,Quite a bit concerned,Quite a bit concerned,,,,,,,25% or less decline,"2,000","2,000",Small cuts,Due to Covid we cannot do our annual fundraising raffle and now rely on donations.,,,,,,Voluntary support,,,I'm not sure,,,,,,,,Loss of volunteers,Meeting levels of work required,,Increasing our volunteer base,Improving our profile,,,Working closer with other organisations for a common good,Delivering new types of services,,,Being more flexible and adjusting our services,,,,,Making sure that people are not isolated and can get out and about and enjoy life also getting the help that is required for stroke survivors and their carers.,More volunteers,,Digital technology,,,Fundraising,,,Leadership,,,,Support to connect and collaborate with others,,,,,Increased volunteer support,,,,,Reduced or stopped some services,,Delivering more remote online or phone services,,,,,,,Completely confident,Collaboration between organisations,,,,,,,,,,,,,,Relationships we established,Being nimble and flexible,"Using technology to connect, communicate and deliver services",Working collectively with other organisations for a common good,Locally led decision-making about where resources are needed,Strengthening local relationships,,,,Sharing knowledge,,,,Working with the Community Stroke Advisor,,,I agree to the inclusion of my responses
12891679600,Chief Executive or Executive Director,,Charitable Trust,,No paid people,21-50 volunteers,35,"$25,000-$49,999",Community and social services,,Aotearoa/New Zealand only,,,,,,,,,,Wellington/Te Whanga-nui-a-Tara,,,,,,,,,,,,New Zealand European/Pakeha/Kiwi,Māori,Samoan,Cook Islands Māori,Tongan,Niuean,Tokelauan,Fijian,Southeast Asian,Chinese,Indian,Middle Eastern/Latin American/African (MELAA),Continental European,,N/A or not concerned,N/A or not concerned,Extremely concerned,Extremely concerned,Quite a bit concerned,Extremely concerned,Somewhat concerned,Quite a bit concerned,Extremely concerned,Quite a bit concerned,Extremely concerned,Quite a bit concerned,Quite a bit concerned,Extremely concerned,,100% or more increase,"15,000","20,000",Substantial increases,Due to covid we are now been funded thru MSD,,,,Other Government COVID-19 funding,,,,,Six to twelve months,,Ensuring sufficient revenue to maintain viability,,Changing our service provision to meet public health criteria,Meeting the needs of the people we support,Ensuring our staff and volunteers are well supported,,,Meeting levels of work required,,Increasing our volunteer base,Improving our profile,Greater appreciation for and recognition of our work,New ways of connecting with funders and/or supporters,,,,,Being more flexible and adjusting our services,,,,,Our priorities are making we have enough food for our foodbank,More volunteers,,Digital technology,,Grant writing,Fundraising,Resources to manage volunteers,,Leadership,,Marketing and communications,Staff training,,,,,,Increased volunteer support,,,,,,Seeking new funding sources,,,,,"Changing our organisation's purpose, rules and/or approaches",,,Completely confident,Collaboration between organisations,,Strengthening financial and management knowledge in the sector,,,Funding to cover salaries and operational costs,,,,,,,,,Relationships we established,Being nimble and flexible,,Working collectively with other organisations for a common good,,Strengthening local relationships,,,,Sharing knowledge,,,,More open with other foodbanks,,,I agree to the inclusion of my responses
12889072255,Other role (please specify),Programmes manager,Charitable Trust,,6-10 people,1-5 volunteers,20,"$200,000-$499,000",Disability services,,Aotearoa/New Zealand only,,,,,,,,,,,,,,,,Otago/Ōtākou,,,,,,New Zealand European/Pakeha/Kiwi,Māori,Samoan,,,,,Fijian,,Chinese,,,,,N/A or not concerned,N/A or not concerned,Somewhat concerned,Somewhat concerned,Extremely concerned,Extremely concerned,Somewhat concerned,Somewhat concerned,Extremely concerned,N/A or not concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,,25% increase,"400,000","500,000",Small increases,Grants have been made available for new programmes to help people deal with covid,,,,Other Government COVID-19 funding,,,,,Four to five months,,Ensuring sufficient revenue to maintain viability,,Changing our service provision to meet public health criteria,Meeting the needs of the people we support,Ensuring our staff and volunteers are well supported,Developing new service offerings,,,,,,,,Working closer with other organisations for a common good,Delivering new types of services,,,Being more flexible and adjusting our services,,,,,,,,,,,,,,,,,,,Struggling with rising property prices making finding suitable affordable and accessible places to rent very difficult,,,,Increased volunteer support,Increased/restored wages/salaries,,,We have had more people wanting to volunteer,,Seeking new funding sources,Delivering more remote online or phone services,,,,,,Working on an interactive website/ application for our art space so people can use it if we return to lockdown,Fairly confident,,,,,,Funding to cover salaries and operational costs,,,,,,,,,,Being nimble and flexible,,Working collectively with other organisations for a common good,,,,,,,,,,,We work with many very vulnerable people who would become very ill or die if they got covid. This has been very stressful. Pre vaccination there was the worry for staff that they will contract covid and pass it on to our service users. This has been alleviated a little since vaccination but stress levels will rise again if borders are opened. ,We have noticed that our volunteers tend to have more mental health issues than previously. Most are beneficiaries and seem to be really struggling in the covid environment. ,I agree to the inclusion of my responses
12888775133,Senior manager,,Charitable Trust,,21-30 people,More than 50 volunteers,2500,"$1,000,000-$1,999,999",Other (please specify),Palliative care,Aotearoa/New Zealand only,,,,Waikato,,,,,,,,,,,,,,,,All regions of Aotearoa/New Zealand,,New Zealand European/Pakeha/Kiwi,Māori,,Cook Islands Māori,,,,,,,,,Continental European,,N/A or not concerned,N/A or not concerned,Extremely concerned,Quite a bit concerned,Quite a bit concerned,Extremely concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,N/A or not concerned,Quite a bit concerned,Quite a bit concerned,Quite a bit concerned,Somewhat concerned,Real concern about whether there will be another lockdown or how it will be if the borders are opened and the disease spreads.,25% increase,1.8 mil,"2,000,000",Moderate increases,We now have more people in ours service than ever before.,,Government COVID-19 wage subsidy scheme,,Other Government COVID-19 funding,,,Donated goods or services,,Four to five months,,Ensuring sufficient revenue to maintain viability,Being able to pay our staff,Changing our service provision to meet public health criteria,Meeting the needs of the people we support,Ensuring our staff and volunteers are well supported,,,,,,,Greater appreciation for and recognition of our work,,Working closer with other organisations for a common good,,,,Being more flexible and adjusting our services,Better business continuity planning,Options around where and how we work,,,"Key priorities are funding (as always), changes in the health sector, increasing demand for services",More volunteers,HR support and advice,,,,,Resources to manage volunteers,,,Innovation and strategic advice,,,Support to connect and collaborate with others,,,Reduced staff wages/salaries,,,Increased/restored wages/salaries,,,We initially cut some wages and staff (immediately post lockdown) but have since restored the wages of those staff to previous levels.,,,,,,,,,We are looking at ways to diversify business revenue so that it is not so dependent on face-to-face contact and we have increased the amount of technology being used and how it can be optimised in the future.,Completely confident,Collaboration between organisations,,,,,Funding to cover salaries and operational costs,,,Delivering services digitally,Community-led development,,,,,Relationships we established,Being nimble and flexible,"Using technology to connect, communicate and deliver services",,Locally led decision-making about where resources are needed,Strengthening local relationships,,,,Sharing knowledge,,,,We have joined the social services network run through the emergency management department of our local council. We are also working with local groups to introduce better services in under-resourced areas.,"The uncertainty of Covid19 has had a detrimental impact on the emotional/ moral of staff and volunteers, in some ways it has drawn us together but it has also tired people worrying about stuff. I think the entire country is more stressed than usual and it can be seen with how scratchy people are with each other when normally they would be kinder. Having said that Covid has done a lot of positive things for us too, in terms of funding, the availability of new mental health resources, the use of technology in new ways to bring people together. All in all, it has been a mixed bag but feels more positive than negative. Just worrying now about the effect of border opening, not sure the team of 5 million are ready for that.",,I agree to the inclusion of my responses
12888725139,Senior manager,,Charitable Trust,,1-5 people,1-5 volunteers,8,"$200,000-$499,000",Disability services,,Aotearoa/New Zealand only,,,,,,,,,,,,,,,,,Southland/Murihiku,,,,,New Zealand European/Pakeha/Kiwi,Māori,Samoan,Cook Islands Māori,Tongan,Niuean,Tokelauan,Fijian,Southeast Asian,Chinese,Indian,Middle Eastern/Latin American/African (MELAA),Continental European,,N/A or not concerned,Somewhat concerned,Quite a bit concerned,Quite a bit concerned,Extremely concerned,Extremely concerned,Quite a bit concerned,Quite a bit concerned,Quite a bit concerned,N/A or not concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Quite a bit concerned,,25% or less decline,"10,000","10,000",Same level of services,,,Government COVID-19 wage subsidy scheme,,,,Voluntary support,,,Two to three months,,Ensuring sufficient revenue to maintain viability,,Changing our service provision to meet public health criteria,Meeting the needs of the people we support,Ensuring our staff and volunteers are well supported,Developing new service offerings,,,,,Improving our profile,Greater appreciation for and recognition of our work,New ways of connecting with funders and/or supporters,,Delivering new types of services,,,,,Options around where and how we work,,,Lockdowns ,,,Digital technology,,,Fundraising,,,,,Marketing and communications,Staff training,,,,,,,,,Made no changes,,,,,,,,,No changes,,Fairly confident,,,Strengthening financial and management knowledge in the sector,,,Funding to cover salaries and operational costs,Digital marketing and online promotion,,Delivering services digitally,,,,,,,,"Using technology to connect, communicate and deliver services",,Locally led decision-making about where resources are needed,Strengthening local relationships,,,,Sharing knowledge,,Options for where staff and volunteers work,,,Added stress since COVID 19 lockdown last year supporting staff and our clients ,,I agree to the inclusion of my responses
