,year,category,percentage
2,2020,More than one year,0.21805392731535755
0,2020,Six to twelve months,0.2966002344665885
3,2020,Four to five months,0.18053927315357562
1,2020,Two to three months,0.2321219226260258
4,2020,Up to one month,0.07268464243845252
5,2021,More than one year,0.363914373088685
6,2021,Six to twelve months,0.2324159021406728
9,2021,Four to five months,0.09174311926605505
8,2021,Two to three months,0.1162079510703364
11,2021,Up to one month,0.021406727828746176
10,2021,None of the above,0.03669724770642202
7,2021,I'm not sure,0.13761467889908258
