ethnic,More than one year,Six to twelve months,Four to five months,Two to three months,Up to one month,None of the above,I'm not sure
Chinese,0.32211538461538464,0.22596153846153846,0.09615384615384616,0.1201923076923077,0.02403846153846154,0.02403846153846154,0.10096153846153846
Continental European,0.3403141361256545,0.225130890052356,0.09424083769633508,0.11518324607329843,0.015706806282722512,0.010471204188481676,0.11518324607329843
Cook Islands Māori,0.3128205128205128,0.2153846153846154,0.11282051282051282,0.11794871794871795,0.02564102564102564,0.020512820512820513,0.11282051282051282
Fijian,0.3128491620111732,0.2122905027932961,0.11173184357541899,0.11731843575418995,0.0335195530726257,0.0223463687150838,0.1005586592178771
Indian,0.32727272727272727,0.22272727272727272,0.09545454545454546,0.11818181818181818,0.022727272727272728,0.022727272727272728,0.11363636363636363
Middle Eastern/Latin American/African (MELAA),0.33519553072625696,0.24022346368715083,0.0893854748603352,0.11173184357541899,0.01675977653631285,0.01675977653631285,0.1005586592178771
Māori,0.33220338983050846,0.21694915254237288,0.09152542372881356,0.1016949152542373,0.020338983050847456,0.023728813559322035,0.13220338983050847
New Zealand European/Pakeha/Kiwi,0.34868421052631576,0.20394736842105263,0.08552631578947369,0.10197368421052631,0.019736842105263157,0.03289473684210526,0.125
Niuean,0.28,0.22,0.11333333333333333,0.11333333333333333,0.03333333333333333,0.02666666666666667,0.11333333333333333
Other (please specify),0.25925925925925924,0.18518518518518517,0.08641975308641975,0.12345679012345678,0.012345679012345678,0.037037037037037035,0.13580246913580246
Samoan,0.3047619047619048,0.23333333333333334,0.10476190476190476,0.10952380952380952,0.023809523809523808,0.01904761904761905,0.12857142857142856
Southeast Asian,0.32323232323232326,0.23232323232323232,0.09595959595959595,0.1111111111111111,0.015151515151515152,0.030303030303030304,0.10101010101010101
Tokelauan,0.2808219178082192,0.23972602739726026,0.11643835616438356,0.11643835616438356,0.0273972602739726,0.02054794520547945,0.1095890410958904
Tongan,0.29608938547486036,0.21787709497206703,0.11173184357541899,0.11731843575418995,0.0335195530726257,0.0223463687150838,0.11731843575418995
