ethnic,Substantial cuts,Moderate cuts,Small cuts,Same level of services,Small increases,Moderate increases,Substantial increases
Chinese,0.0625,0.04326923076923077,0.14903846153846154,0.27403846153846156,0.1875,0.16826923076923078,0.11538461538461539
Continental European,0.06282722513089005,0.04712041884816754,0.1256544502617801,0.2774869109947644,0.2094240837696335,0.16753926701570682,0.1099476439790576
Cook Islands Māori,0.07692307692307693,0.041025641025641026,0.12307692307692308,0.26153846153846155,0.2,0.1641025641025641,0.13333333333333333
Fijian,0.07262569832402235,0.0446927374301676,0.12290502793296089,0.25139664804469275,0.18435754189944134,0.18435754189944134,0.13966480446927373
Indian,0.07272727272727272,0.04090909090909091,0.1318181818181818,0.2818181818181818,0.18636363636363637,0.16818181818181818,0.11818181818181818
MELA,0.061452513966480445,0.0446927374301676,0.12849162011173185,0.24581005586592178,0.2122905027932961,0.18435754189944134,0.12290502793296089
Māori,0.06779661016949153,0.05423728813559322,0.12542372881355932,0.288135593220339,0.1864406779661017,0.16271186440677965,0.1152542372881356
New Zealand European,0.05921052631578947,0.05921052631578947,0.12828947368421054,0.2894736842105263,0.18421052631578946,0.16447368421052633,0.11513157894736842
Niuean,0.08666666666666667,0.04666666666666667,0.11333333333333333,0.23333333333333334,0.19333333333333333,0.18,0.14666666666666667
Other (please specify),0.037037037037037035,0.14814814814814814,0.12345679012345678,0.2962962962962963,0.13580246913580246,0.20987654320987653,0.04938271604938271
Samoan,0.0761904761904762,0.05714285714285714,0.12380952380952381,0.24285714285714285,0.19523809523809524,0.16666666666666666,0.1380952380952381
Southeast Asian,0.07575757575757576,0.045454545454545456,0.12626262626262627,0.23737373737373738,0.20707070707070707,0.18181818181818182,0.12626262626262627
Tokelauan,0.07534246575342465,0.03424657534246575,0.1095890410958904,0.23972602739726026,0.2054794520547945,0.1917808219178082,0.14383561643835616
Tongan,0.08379888268156424,0.03910614525139665,0.11173184357541899,0.2569832402234637,0.18994413407821228,0.1787709497206704,0.13966480446927373
