,year,percentage,category
0,2021,0.637119114,Collaboration between organisations
0,2021,0.337950139,Sector-wide leadership to provide voice and influence
0,2021,0.379501385,Strengthening financial and management knowledge/skills
0,2021,0.404432133,Strengthening governance knowledge/skills
0,2021,0.293628809,Access to information and data in one place
0,2021,0.64265928,Funding to cover salaries and operational costs
0,2021,0.249307479,Digital marketing and online promotion
0,2021,0.232686981,Using online tools
0,2021,0.193905817,Delivering services digitally
0,2021,0.409972299,Community-led development
0,2021,0.16066482,Mergers of organisations
0,2020,0.628511967,Collaboration between organisations
0,2020,0.201873049,Mergers of organisations
0,2020,0.388137357,Sector-wide leadership to provide voice and influence
0,2020,0.314255983,Strengthening financial and management knowledge/skills
0,2020,0.33194589,Strengthening governance knowledge/skills
0,2020,0.324661811,Access to information and data in one place
0,2020,0.604578564,Funding to cover salaries and operational costs
