,year,percentage,category
0,2021,0.188365651,Reduced or stopped some services
0,2021,0.40166205,Seek new funding sources
0,2021,0.409972299,Delivering more remote online or phone services
0,2021,0.191135734,Developing new face-to-face service offerings
0,2021,0.085872576,Reducing costs to users
0,2021,0.063711911,Increasing costs to users
0,2021,0.099722992,Change kaupapa
0,2020,0.318418314,Reduced or stopped some services
0,2020,0.352757544,Seek new funding sources
0,2020,0.546305931,Delivering more remote online or phone services
0,2020,0.098855359,Developing new face-to-face service offerings
0,2020,0.105098855,Reducing costs to users
0,2020,0.009365245,Increasing costs to users
0,2020,0.100936524,Change kaupapa
