,year,percentage,category
0,2021,0.119113573,Reduced number of paid staff
0,2021,0.04432133,Reduced staff wages/salaries
0,2021,0.049861496,Reduced number of volunteers
0,2021,0.168975069,Increased volunteer support
0,2021,0.119113573,Increased/restored wages/salaries
0,2021,0.185595568,Increased number of paid staff
0,2020,0.087408949,Reduced number of paid staff
0,2020,0.117585848,Reduced staff wages/salaries
0,2020,0.141519251,Reduced number of volunteers
0,2020,0.047866805,Increased number of paid staff
0,2020,0.117585848,Increased volunteer support
