,year,percentage,category
0,2020,0.429362881,More volunteers
0,2020,0.166204986,HR support and advice
0,2020,0.360110803,Digital technology
0,2020,0.12465374,Legal obligations
0,2020,0.288088643,Grant writing
0,2020,0.429362881,Fundraising
0,2020,0.207756233,Resources to manage volunteers
0,2020,0.193905817,Governance
0,2020,0.099722992,Leadership
0,2020,0.221606648,Innovation and strategic advice
0,2020,0.351800554,Marketing and communications
0,2020,0.1966759,Staff training
0,2020,0.265927978,Support to connect and collaborate with others
0,2021,0.248699272,More volunteers
0,2021,0.134235172,Advice on how you can operate within COVID-19 restrictions
0,2021,0.131113424,HR support and advice
0,2021,0.386056191,Digital technology
0,2021,0.088449532,Legal obligations
0,2021,0.266389178,Grant writing
0,2021,0.555671176,Fundraising
0,2021,0.138397503,Resources to manage volunteers
0,2021,0.140478668,Governance
0,2021,0.139438085,Leadership
0,2021,0.349635796,Innovation and strategic advice
0,2021,0.431841831,Marketing and communications
