,Percentage,Support Needed
0,0.24869927159209157,More volunteers
0,0.13423517169614985,Advice on how you can operate within COVID-19 restrictions
0,0.13111342351716962,HR support and advice
0,0.38605619146722164,Digital technology
0,0.08844953173777315,Legal obligations
0,0.2663891779396462,Grant writing
0,0.5556711758584808,Fundraising
0,0.1383975026014568,Resources to manage volunteers
0,0.1404786680541103,Governance
0,0.13943808532778357,Leadership
0,0.34963579604578565,Innovation and strategic advice
0,0.43184183142559834,Marketing and communications
