Service Type,More than one year,Six to twelve months,Four to five months,Two to three months,Up to one month,None of the above,I'm not sure
Alcohol and/or other drugs,,,,,,,
Community and social services,0.26506024096385544,0.27710843373493976,0.08433734939759036,0.0963855421686747,0.03614457831325301,,0.14457831325301204
"Culture, arts and heritage",0.4666666666666667,0.03333333333333333,0.1,0.1,,0.03333333333333333,0.16666666666666666
Development and housing,,,,,,,1.0
Disability services,0.3125,0.125,0.0625,0.1875,,0.0625,0.25
Education and research,0.32,0.24,0.16,0.04,,0.04,0.12
Employment,1.0,,,,,,
Environment,0.3888888888888889,0.2222222222222222,,0.2222222222222222,,,
Faith-based,0.75,,,0.0625,,0.0625,0.125
Family services,0.6,,0.2,,,,
"Grant making, fundraising and voluntarism promotion",0.6363636363636364,0.18181818181818182,,0.18181818181818182,,,
Hauora/Health,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667,,,0.2
Housing support,,,,,,,1.0
Iwi related work,0.2,0.2,,0.2,,0.2,0.2
Justice,,,,,,,
Kaumātua/Elderly Services,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,,
Marae sustainability,0.5,,,0.5,,,
Mental health,0.2,0.3,,0.1,,,0.2
Migrant and refugee background communities,0.25,0.25,0.125,0.375,,,
Māori development,0.25,0.25,0.25,,,,
Other (please specify),0.18333333333333332,0.31666666666666665,0.1,0.06666666666666667,0.016666666666666666,0.06666666666666667,0.15
Pacifica community development,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,
Rangatahi/Youth development,0.26666666666666666,0.2,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,
Sexual violence response or prevention,,,,1.0,,,
Sport and recreation,0.625,0.25,,,,,0.125
Umbrella organisation/peak body,0.5,0.125,,0.125,,0.125,0.125
Women's Council,,,,,,1.0,
