Service Type,Substantial cuts,Moderate cuts,Small cuts,Same level of services,Small increases,Moderate increases,Substantial increases
Alcohol and/or other drugs,,,,1.0,,,
Community and social services,0.07228915662650602,0.024096385542168676,0.12048192771084337,0.26506024096385544,0.14457831325301204,0.1686746987951807,0.20481927710843373
"Culture, arts and heritage",0.13333333333333333,0.13333333333333333,0.2,0.3,0.1,0.13333333333333333,
Development and housing,,,,,,,1.0
Disability services,0.0625,0.1875,0.125,0.25,0.25,0.0625,0.0625
Education and research,0.08,0.2,0.04,0.56,0.12,,
Employment,,,,0.5,,0.5,
Environment,,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111
Faith-based,0.0625,,0.0625,0.375,0.375,0.125,
Family services,,,0.2,0.4,0.4,,
"Grant making, fundraising and voluntarism promotion",,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091
Hauora/Health,,,0.26666666666666666,0.4,0.06666666666666667,0.06666666666666667,0.2
Housing support,,,,,,1.0,
Iwi related work,0.2,,0.2,0.4,,,0.2
Justice,,,1.0,,,,
Kaumātua/Elderly Services,,,0.2727272727272727,0.18181818181818182,,0.5454545454545454,
Marae sustainability,,,,,,0.5,0.5
Mental health,0.1,0.2,0.1,0.1,0.2,0.1,0.2
Migrant and refugee background communities,,,0.125,,0.375,0.375,0.125
Māori development,,0.25,0.25,,0.25,0.25,
Other (please specify),0.05,0.06666666666666667,0.1,0.3333333333333333,0.18333333333333332,0.18333333333333332,0.08333333333333333
Pacifica community development,,0.3333333333333333,,,,0.6666666666666666,
Rangatahi/Youth development,0.06666666666666667,,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333
Sexual violence response or prevention,,,,,,,1.0
Sport and recreation,0.125,,0.125,0.625,0.125,,
Umbrella organisation/peak body,,0.125,0.125,0.125,0.375,0.25,
Women's Council,,,,1.0,,,
